Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	22 	184.0 	194.000 
2007 	2 	19 	154.0 	223.000 
2007 	3 	26 	171.0 	186.000 
2007 	4 	17 	170.0 	127.000 
2007 	5 	22 	248.0 	251.500 
2007 	6 	18 	192.0 	108.200 
2007 	7 	30 	134.0 	122.700 
2007 	8 	21 	231.0 	100.000 
2007 	9 	10 	171.0 	137.100 
2007 	10 	15 	199.0 	185.000 
2007 	11 	19 	176.0 	215.900 
2007 	12 	10 	164.0 	238.300 
2008 	1 	14 	186.0 	237.900 
2008 	2 	11 	173.0 	234.900 
2008 	3 	11 	248.0 	225.000 
2008 	4 	9 	182.0 	223.000 
2008 	5 	13 	278.0 	427.000 
2008 	6 	23 	230.0 	109.800 
2008 	7 	14 	175.0 	184.300 
2008 	8 	19 	162.0 	164.000 
2008 	9 	15 	187.0 	165.000 
2008 	10 	13 	156.0 	161.400 
2008 	11 	10 	179.0 	181.200 
2008 	12 	15 	145.0 	174.800 
2009 	1 	13 	151.0 	205.500 
2009 	2 	16 	133.0 	224.500 
2009 	3 	16 	144.0 	213.300 
2009 	4 	14 	163.0 	157.800 
2009 	5 	25 	243.0 	111.600 
2009 	6 	15 	249.0 	106.000 
2009 	7 	7 	244.0 	81.800 
2009 	8 	17 	249.0 	117.300 
2009 	9 	14 	224.0 	184.000 
2009 	10 	13 	182.0 	164.800 
2009 	11 	16 	162.0 	170.400 
2009 	12 	15 	192.0 	85.700 
2010 	1 	18 	167.0 	173.460 
2010 	2 	15 	170.0 	218.730 
2010 	3 	16 	181.0 	215.010 
2010 	4 	13 	210.0 	204.000 
2010 	5 	17 	256.0 	552.000 
2010 	6 	28 	176.0 	85.600 
2010 	7 	20 	200.0 	176.000 
2010 	8 	17 	234.0 	142.650 
2010 	9 	13 	204.0 	135.250 
2010 	10 	18 	172.0 	189.150 
2010 	11 	16 	175.0 	169.040 
2010 	12 	13 	156.0 	185.990 
2011 	1 	17 	153.0 	194.000 
2011 	2 	14 	136.0 	207.800 
2011 	3 	14 	162.0 	175.400 
2011 	4 	12 	160.0 	103.200 
2011 	5 	16 	264.0 	114.300 
2011 	6 	13 	243.0 	64.600 
2011 	7 	12 	211.0 	94.700 
2011 	8 	15 	185.0 	85.600 
2011 	9 	19 	237.0 	253.200 
2011 	10 	17 	219.0 	254.600 
2011 	11 	14 	217.0 	206.600 
2011 	12 	12 	193.0 	168.900 
2012 	1 	16 	173.0 	168.740 
2012 	2 	13 	162.0 	172.710 
2012 	3 	12 	160.0 	165.350 
2012 	4 	16 	190.0 	203.730 
2012 	5 	23 	246.0 	376.020 
2012 	6 	18 	205.0 	377.200 
2012 	7 	16 	183.0 	205.760 
2012 	8 	13 	189.0 	164.140 
2012 	9 	18 	193.0 	185.390 
2012 	10 	22 	254.0 	230.260 
2012 	11 	19 	191.0 	223.700 
2013 	1 	22 	155.0 	190.690 
2013 	2 	13 	155.0 	199.900 
2013 	3 	25 	158.0 	209.750 
2013 	4 	22 	241.0 	226.730 
2013 	5 	14 	282.0 	277.220 
2013 	6 	25 	208.0 	142.830 
2013 	7 	15 	223.0 	175.280 
2013 	8 	20 	162.0 	116.820 
2013 	9 	18 	147.0 	125.860 
2013 	10 	23 	163.0 	163.960 
2013 	12 	2 	178.0 	193.400 
2014 	1 	15 	140.0 	201.110 
2014 	2 	12 	150.0 	200.830 
2014 	3 	19 	178.0 	179.610 
2014 	4 	22 	201.0 	262.530 
2014 	5 	14 	197.0 	158.800 
2014 	6 	16 	220.0 	136.690 
2014 	7 	16 	158.0 	126.040 
2014 	8 	21 	178.0 	116.890 
2014 	10 	16 	149.0 	126.250 
2014 	11 	18 	172.0 	128.990 
2014 	12 	15 	158.0 	151.900 
2015 	1 	12 	182.0 	146.100 
2015 	2 	18 	149.0 	177.470 
2015 	3 	11 	154.0 	168.410 
2015 	4 	14 	204.0 	232.720 
2015 	5 	19 	250.0 	248.970 
2015 	6 	15 	279.0 	161.550 
2015 	7 	28 	219.0 	237.500 
2015 	8 	31 	161.0 	216.890 
2015 	9 	15 	140.0 	149.310 
2015 	10 	20 	150.0 	192.100 
2015 	11 	17 	132.0 	200.430 
2015 	12 	21 	163.0 	189.670 
2016 	1 	13 	147.0 	206.260 
2016 	2 	22 	141.0 	201.410 
2016 	3 	14 	153.0 	209.200 
2016 	4 	11 	199.0 	249.380 
2016 	5 	9 	219.0 	351.950 
2016 	6 	13 	220.0 	137.160 
2016 	7 	12 	173.0 	134.720 
2016 	8 	18 	128.0 	147.890 
2016 	9 	19 	155.0 	165.980 
2016 	10 	27 	143.0 	195.840 
2016 	11 	14 	137.0 	193.930 
2016 	12 	12 	130.0 	211.650 
2017 	1 	16 	149.0 	226.260 
2017 	2 	20 	138.0 	209.950 
2017 	3 	14 	138.0 	214.780 
2017 	4 	10 	166.0 	106.100 
2017 	5 	15 	289.0 	208.540 
2017 	6 	13 	257.0 	112.910 
2017 	7 	12 	194.0 	185.290 
2017 	8 	15 	134.0 	130.350 
2017 	9 	26 	161.0 	81.930 
2017 	10 	18 	195.0 	192.710 
2017 	11 	20 	176.0 	107.810 
2017 	12 	12 	182.0 	210.130 
2018 	1 	16 	156.0 	173.300 
2018 	2 	12 	140.0 	200.600 
2018 	3 	13 	195.0 	205.760 
2018 	4 	16 	171.0 	175.200 
2018 	5 	14 	248.0 	436.910 
2018 	6 	13 	293.0 	46.210 
2018 	7 	17 	173.0 	126.970 
2018 	8 	15 	159.0 	110.380 
2018 	9 	10 	161.0 	142.250 
2018 	10 	16 	155.0 	125.200 
2018 	11 	13 	122.0 	164.680 
2018 	12 	17 	139.0 	160.480 
