Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	26.0 	0.067 
2007 	2 	13 	19.0 	0.124 
2007 	3 	13 	20.0 	0.209 
2007 	4 	15 	22.0 	0.067 
2007 	5 	13 	24.0 	0.030 
2007 	6 	12 	12.0 	0.024 
2007 	7 	15 	17.0 	0.109 
2007 	8 	14 	18.0 	0.037 
2007 	9 	15 	20.0 	0.028 
2007 	10 	15 	18.0 	0.028 
2007 	11 	6 	36.0 	0.029 
2007 	12 	17 	16.0 	0.114 
2008 	1 	13 	18.0 	0.112 
2008 	2 	17 	20.0 	0.076 
2008 	3 	16 	40.0 	0.066 
2008 	4 	13 	20.0 	0.077 
2008 	5 	16 	17.0 	0.032 
2008 	6 	15 	30.0 	0.025 
2008 	7 	12 	25.0 	0.026 
2008 	8 	12 	16.0 	0.039 
2008 	9 	13 	12.0 	0.030 
2008 	10 	12 	13.0 	0.028 
2008 	11 	15 	15.0 	0.046 
2008 	12 	14 	17.0 	0.121 
2009 	1 	12 	16.0 	0.078 
2009 	2 	15 	22.0 	0.082 
2009 	3 	15 	15.0 	0.094 
2009 	4 	13 	18.0 	0.070 
2009 	5 	13 	20.0 	0.030 
2009 	6 	14 	90.0 	0.035 
2009 	7 	13 	19.0 	0.031 
2009 	8 	16 	30.0 	0.024 
2009 	9 	14 	49.0 	0.023 
2009 	10 	13 	15.0 	0.023 
2009 	11 	15 	21.0 	0.041 
2009 	12 	15 	15.0 	0.068 
2010 	1 	16 	15.0 	0.061 
2010 	2 	15 	14.0 	0.056 
2010 	3 	15 	14.0 	0.058 
2010 	4 	13 	20.0 	0.316 
2010 	5 	17 	15.0 	0.168 
2010 	6 	15 	31.0 	0.065 
2010 	7 	13 	16.0 	0.029 
2010 	8 	16 	12.0 	0.036 
2010 	9 	20 	15.0 	0.063 
2010 	10 	18 	15.0 	0.036 
2010 	11 	15 	16.0 	0.132 
2010 	12 	14 	18.0 	0.175 
2011 	1 	17 	20.0 	0.092 
2011 	2 	15 	21.0 	0.178 
2011 	3 	14 	20.0 	0.114 
2011 	4 	12 	22.0 	0.193 
2011 	5 	17 	21.0 	0.044 
2011 	6 	13 	16.0 	0.028 
2011 	7 	18 	20.0 	0.031 
2011 	8 	15 	18.0 	0.028 
2011 	9 	19 	16.0 	0.039 
2011 	10 	17 	15.0 	0.027 
2011 	11 	15 	14.0 	0.026 
2011 	12 	12 	17.0 	0.051 
2012 	1 	16 	15.0 	0.070 
2012 	2 	20 	14.0 	0.066 
2012 	3 	13 	16.0 	0.108 
2012 	4 	16 	17.0 	0.079 
2012 	5 	14 	19.0 	0.057 
2012 	6 	18 	17.0 	0.029 
2012 	7 	17 	15.0 	0.084 
2012 	8 	13 	16.0 	0.031 
2012 	9 	17 	16.0 	0.025 
2012 	10 	15 	15.0 	0.038 
2012 	11 	19 	16.0 	0.048 
2012 	12 	17 	13.0 	0.096 
2013 	1 	14 	14.0 	0.170 
2013 	2 	20 	17.0 	0.105 
2013 	3 	18 	18.0 	0.091 
2013 	4 	15 	18.0 	0.091 
2013 	5 	15 	19.0 	0.100 
2013 	6 	24 	29.0 	0.031 
2013 	7 	15 	13.0 	0.028 
2013 	8 	13 	15.0 	0.025 
2013 	9 	16 	14.0 	0.024 
2013 	10 	15 	12.0 	0.021 
2013 	11 	19 	13.0 	0.024 
2013 	12 	17 	14.0 	0.062 
2014 	1 	14 	14.0 	0.072 
2014 	2 	17 	13.3 	0.078 
2014 	3 	19 	14.1 	0.079 
2014 	4 	14 	14.3 	0.083 
2014 	5 	12 	14.7 	0.056 
2014 	6 	16 	14.0 	0.030 
2014 	7 	14 	12.1 	0.026 
2014 	8 	18 	11.7 	0.022 
2014 	9 	16 	12.5 	0.021 
