Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	6.0 	623.000 
2007 	2 	15 	3.0 	703.000 
2007 	3 	14 	5.0 	655.000 
2007 	4 	13 	9.0 	677.000 
2007 	5 	10 	6.0 	663.000 
2007 	6 	15 	3.0 	538.000 
2007 	7 	24 	8.0 	384.000 
2007 	8 	21 	4.0 	398.000 
2007 	9 	12 	6.0 	431.000 
2007 	10 	16 	7.0 	371.000 
2007 	11 	12 	3.0 	424.000 
2007 	12 	14 	4.0 	536.000 
2008 	1 	11 	4.0 	599.000 
2008 	2 	11 	3.0 	580.466 
2008 	3 	13 	3.0 	528.625 
2008 	4 	14 	4.0 	470.393 
2008 	5 	14 	9.0 	788.611 
2008 	6 	17 	7.0 	434.447 
2008 	7 	15 	5.0 	224.003 
2008 	8 	12 	5.0 	262.183 
2008 	9 	12 	9.0 	345.742 
2008 	10 	17 	6.0 	359.785 
2008 	11 	11 	4.0 	403.473 
2008 	12 	12 	4.0 	553.233 
2009 	1 	15 	3.0 	579.962 
2009 	2 	16 	4.0 	512.829 
2009 	3 	16 	5.0 	461.067 
2009 	4 	17 	10.0 	560.941 
2009 	5 	12 	12.0 	614.844 
2009 	6 	9 	8.0 	320.195 
2009 	7 	13 	8.0 	279.030 
2009 	8 	14 	8.0 	560.400 
2009 	9 	14 	8.0 	710.260 
2009 	10 	14 	6.0 	576.580 
2009 	11 	13 	4.0 	610.280 
2009 	12 	10 	6.0 	628.610 
2010 	1 	18 	5.0 	612.760 
2010 	2 	15 	4.0 	642.960 
2010 	3 	15 	3.0 	532.410 
2010 	4 	15 	14.0 	325.080 
2010 	5 	10 	11.0 	424.200 
2010 	6 	16 	10.0 	488.920 
2010 	7 	19 	9.0 	332.610 
2010 	8 	30 	7.0 	449.830 
2010 	9 	16 	6.0 	361.740 
2010 	10 	12 	8.0 	561.750 
2010 	11 	15 	6.0 	494.800 
2010 	12 	13 	5.0 	596.350 
2011 	1 	11 	4.0 	392.380 
2011 	2 	15 	4.0 	608.530 
2011 	3 	16 	4.0 	323.210 
2011 	4 	11 	11.0 	379.060 
2011 	5 	11 	11.0 	282.070 
2011 	6 	15 	8.0 	543.240 
2011 	7 	12 	7.0 	260.200 
2011 	8 	22 	14.0 	1083.310 
2011 	9 	13 	16.0 	1564.040 
2011 	10 	13 	8.0 	914.970 
2011 	11 	22 	6.0 	628.510 
2011 	12 	13 	6.0 	655.890 
2012 	1 	19 	4.0 	633.760 
2012 	2 	15 	4.0 	715.010 
2012 	3 	14 	3.0 	680.920 
2012 	4 	18 	8.0 	689.430 
2012 	5 	14 	10.0 	952.380 
2012 	6 	14 	8.0 	784.260 
2012 	7 	13 	8.0 	502.950 
2012 	8 	15 	7.0 	608.330 
2012 	9 	13 	8.0 	378.130 
2012 	10 	18 	9.0 	613.460 
2012 	11 	15 	7.0 	575.630 
2012 	12 	14 	6.0 	711.780 
2013 	1 	16 	4.0 	623.400 
2013 	2 	15 	4.0 	579.250 
2013 	3 	18 	4.0 	455.450 
2013 	4 	17 	12.0 	352.910 
2013 	6 	13 	7.0 	139.270 
2013 	7 	15 	8.0 	183.160 
2013 	8 	16 	7.0 	269.350 
2013 	9 	16 	5.0 	400.490 
2013 	10 	15 	7.0 	577.470 
2013 	11 	22 	6.0 	566.770 
2013 	12 	18 	5.0 	624.520 
2014 	1 	16 	5.0 	549.380 
2014 	2 	14 	4.2 	614.330 
2014 	3 	12 	5.3 	548.520 
2014 	4 	16 	7.3 	554.400 
