Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         13        0.25                0.94                316.22              
2005      2         23        0.25                0.78                169.5               
2005      3         22        0.28                0.45                298.02              
2005      4         14        0.36                1.0                 305.24              
2005      5         16        0.33                0.91                155.07              
2005      6         29        0.25                0.78                97.43               
2005      7         27        0.34                0.99                58.56               
2005      8         30        0.39                1.1                 88.23               
2005      9         29        0.19                1.1                 208.74              
2005      10        26        0.22                1.1                 135.98              
2005      11        23        0.31                0.76                1010.08             
2005      12        20        0.21                0.65                354.17              
2006      1         24        0.09                0.65                77.44               
2006      2         21        0.04                0.59                50.63               
2006      3         15        0.12                0.58                419.94              
2006      4         27        0.11                0.74                35.51               
2006      5         25        0.12                0.72                28.5                
2006      6         27        0.14                0.64                43.14               
2006      7         17        0.17                0.55                98.91               
2006      8         23        0.11                0.4                 13.17               
2006      9         26        0.14                0.72                69.88               
2006      10        26        0.18                0.95                47.23               
2006      12        20        0.23                0.88                64.53               
2007      1         24        0.21                0.66                25.39               
2007      2         21        0.23                0.71                52.35               
2007      3         28        0.16                1.6                 40.05               
2007      4         12        0.04                0.56                27.63               
2007      5         30        0.34                0.64                11.11               
2007      6         27        0.38                0.5                 0.0                 
2007      7         12        0.49                1.4                 25.37               
2007      8         16        0.63                0.68                5.11                
2007      9         24        0.06                0.59                18.66               
2007      10        29        0.13                1.0                 16.3                
2007      11        28        0.21                1.6                 59.62               
2007      12        13        0.04                0.95                15.62               
2008      1         24        0.07                0.56                17.73               
2008      2         19        0.07                1.2                 39.28               
2008      3         18        0.18                1.6                 75.21               
2008      5         26        0.05                0.4                 31.57               
2008      6         26        0.13                0.46                7.93                
2008      7         22        0.23                0.63                138.82              
2008      8         7         0.4                 0.75                9.63                
2008      9         18        0.01                0.67                22.0                
2008      10        22        0.05                1.5                 24.48               
2008      11        24        0.01                0.59                6.99                
2008      12        15        0.06                1.1                 0.0                 
2009      1         27        0.08                2.2                 0.07                
2009      2         23        0.004               0.69                7.88                
2009      3         16        0.02                0.47                30.46               
2009      4         28        0.03                0.45                34.1                
2009      5         25        0.02                0.43                0.0                 
2009      6         25        0.08                0.49                34.05               
2009      7         16        0.466               0.28                31.36               
2009      8         13        0.075               0.37                21.07               
2009      9         24        0.033               0.33                20.96               
2009      10        15        0.045               0.82                19.8                
2009      12        9         0.004               0.78                0.0                 
2010      1         13        0.002               0.44                56.05               
2010      2         15        0.002               0.48                36.8                
2010      3         11        0.19                0.48                141.41              
2010      4         15        0.148               0.29                49.53               
2010      5         18        0.076               0.22                42.03               
2010      6         23        0.174               0.22                155.57              
2010      7         28        0.43                0.71                170.74              
2010      8         24        0.48                1.0                 973.16              
2010      9         29        0.31                0.68                417.05              
2010      10        20        0.27                1.0                 968.04              
2010      11        16        0.2                 0.87                802.79              
2010      12        13        0.13                1.5                 2954.19             
2011      1         24        0.17                0.83                481.17              
2011      2         10        0.24                1.1                 740.7               
2011      3         24        0.16                0.71                382.74              
2011      4         20        0.14                0.55                211.51              
2011      5         26        0.21                0.79                603.78              
2011      6         14        0.18                0.46                197.95              
2011      7         20        0.27                1.0                 2219.21             
2011      8         30        0.24                1.0                 778.63              
2011      9         22        0.11                0.64                370.51              
2011      10        20        0.14                0.58                286.91              
2011      11        24        0.1                 0.5                 136.11              
2011      12        21        0.073               0.63                176.95              
2012      1         24        0.005               0.67                44.77               
2012      2         16        0.033               0.64                0.0                 
2012      3         29        0.35                1.3                 400.7               
2012      4         23        0.18                0.66                226.75              
2012      5         24        0.16                0.46                138.07              
2012      6         20        0.15                0.38                161.93              
2012      7         25        0.27                0.82                900.55              
2012      8         14        0.22                0.88                855.05              
2012      9         26        0.11                0.66                354.02              
2012      10        25        0.068               0.46                125.98              
2012      11        29        0.024               0.54                73.27               
2012      12        18        0.083               0.64                116.75              
2013      1         23        0.003               0.71                21.45               
2013      2         21        0.008               0.64                43.62               
2013      3         26        0.89                1.5                 78.84               
2013      4         23        0.1                 0.49                36.29               
2013      5         28        0.16                0.45                0.0                 
2013      6         27        0.17                0.39                53.37               
2013      7         25        0.36                0.76                430.38              
2013      8         29        0.27                0.7                 1163.09             
2013      9         23        0.19                0.83                1184.24             
2013      10        17        0.092               0.39                164.88              
2013      11        21        0.005               0.59                51.19               
2013      12        11        0.14                0.55                96.99               
2014      1         15        0.003               0.69                49.79               
2014      2         26        0.003               0.67                35.68               
2014      3         20        0.016               0.76                22.61               
2014      4         16        0.41                0.42                54.2                
2014      5         27        0.12                0.44                88.28               
2014      6         17        0.27                1.4                 316.64              
2014      7         21        0.37                0.9                 1635.43             
2014      8         21        0.26                0.46                272.21              
2014      9         11        0.15                0.47                1064.39             
2014      10        23        0.005               0.58                45.38               
2014      11        25        0.028               0.72                86.08               
2014      12        17        0.064               0.86                16.26               
2015      1         27        0.015               0.7                 43.09               
2015      2         19        0.026               0.65                63.56               
2015      3         25        0.017               0.59                43.85               
2015      4         27        0.55                0.87                42.22               
2015      5         26        0.11                0.54                8.44                
2015      6         15        0.03                0.4                 8.53                
2015      7         27        0.12                0.5                 245.1               
2015      8         25        0.064               0.45                82.35               
2015      9         22        0.007               0.43                43.56               
2015      10        21        0.003               0.51                0.0                 
2015      11        18        0.003               0.61                20.39               
2015      12        15        0.003               0.54                9.77                
2016      1         13        0.003               0.5                 5.99                
2016      2         23        0.003               0.67                16.32               
2016      3         23        0.005               0.3                 17.11               
2016      4         21        0.003               0.42                11.76               
2016      5         18        0.49                0.75                15.51               
2016      6         28        0.85                0.99                482.46              
2016      7         12        0.54                2.3                 3849.55             
2016      8         24        0.45                0.89                697.85              
2016      9         21        0.32                1.0                 2579.52             
2016      10        27        0.22                0.77                781.66              
2016      11        29        0.12                0.55                188.2               
2016      12        20        0.037               0.48                63.29               
2017      1         24        0.045               0.56                72.46               
2017      2         7         0.053               0.52                84.83               
2017      3         27        0.097               0.62                24.26               
2017      4         20        0.057               0.55                36.56               
2017      5         30        0.15                0.34                86.71               
2017      6         15        0.18                0.35                37.57               
2017      7         24        0.16                0.35                99.65               
2017      8         30        0.26                0.52                263.76              
2017      9         26        0.049               0.44                128.61              
2017      10        12        0.079               0.43                187.76              
2017      11        23        0.092               0.56                32.83               
2017      12        18        0.01                0.87                55.8                
2018      1         22        0.041               0.6                 53.37               
2018      2         19        0.075               0.56                53.86               
2018      3         26        0.063               0.65                76.88               
2018      4         17        0.054               0.6                 177.06              
2018      5         30        0.084               0.5                 18.26               
2018      6         21        0.18                0.5                 72.22               
2018      7         19        0.16                0.35                9.94                
2018      8         23        0.12                0.4                 173.84              
2018      9         12        0.041               0.34                77.49               
2018      10        11        0.017               0.41                20.31               
2018      11        19        0.003               0.57                12.91               
2018      12        19        0.025               0.64                34.41               
