Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         5         0.02                1.1                 105.01              
2005      2         1         0.02                1.1                 20.32               
2005      3         1         0.01                1.3                 117.63              
2005      4         5         0.04                1.2                 21.31               
2005      5         4         0.07                1.2                 20.32               
2005      6         9         0.01                0.61                51.1                
2005      7         5         0.06                0.79                82.76               
2005      8         3         0.01                0.79                84.93               
2005      9         7         0.23                1.0                 116.01              
2005      10        5         0.21                1.6                 131.07              
2005      11        1         0.19                1.6                 142.05              
2005      12        1         0.01                0.81                42.12               
2006      1         5         0.02                0.87                12.08               
2006      2         9         0.003               0.92                5.77                
2006      3         7         0.03                0.92                4.25                
2006      4         4         0.03                0.88                6.58                
2006      5         2         0.01                0.45                12.31               
2006      6         6         0.33                0.44                31.9                
2006      7         4         0.01                0.71                51.15               
2006      8         8         0.01                0.94                72.42               
2006      9         5         0.04                0.59                47.01               
2006      10        10        0.01                0.71                33.26               
2006      11        1         0.01                0.61                13.1                
2006      12        6         0.008               0.47                2.79                
2007      1         17        0.03                0.9                 4.01                
2007      2         6         0.01                0.92                4.22                
2007      3         13        0.02                0.89                2.09                
2007      4         4         0.02                1.3                 5.07                
2007      5         2         0.03                0.71                11.8                
2007      6         5         0.18                0.73                52.87               
2007      7         3         0.44                1.0                 100.16              
2007      8         7         1.1                 2.8                 622.34              
2007      9         4         0.33                1.5                 111.08              
2007      10        2         0.21                2.1                 180.25              
2007      11        14        0.09                1.5                 387.21              
2007      12        5         0.04                1.1                 61.75               
2008      1         7         0.02                1.3                 54.4                
2008      2         5         0.007               0.96                5.77                
2008      3         4         0.01                1.0                 5.82                
2008      4         2         0.01                1.2                 6.65                
2008      5         6         0.03                0.63                9.96                
2008      6         4         0.06                1.5                 22.28               
2008      7         9         0.1                 0.87                296.39              
2008      8         5         0.69                1.6                 248.35              
2008      9         3         0.57                2.3                 467.93              
2008      10        2         0.08                1.6                 86.04               
2008      11        5         0.02                1.0                 35.54               
2008      12        2         0.01                1.1                 17.59               
2009      1         7         0.008               1.1                 29.76               
2009      2         4         0.003               1.2                 2.87                
2009      3         3         0.02                2.0                 2.71                
2009      4         7         0.01                0.84                4.96                
2009      5         12        0.05                0.78                11.52               
2009      6         2         0.07                0.69                40.35               
2009      7         7         1.34                1.55                234.34              
2009      8         5         0.577               1.54                286.31              
2009      9         2         0.329               1.79                2875.76             
2009      10        7         0.261               1.85                733.54              
2009      11        4         0.1                 1.3                 119.66              
2010      1         5         0.002               0.72                11.56               
2010      2         3         0.083               1.25                4.84                
2010      3         2         0.105               0.48                5.27                
2010      4         7         0.052               0.59                13.01               
2010      5         4         0.073               0.61                31.29               
