Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         12        0.11                0.21                139.89              
2005      1         13        0.11                0.21                121.14              
2005      2         10        0.21                0.27                94.43               
2005      3         10        0.13                0.19                141.01              
2005      4         7         0.17                0.13                139.78              
2005      5         5         0.19                0.19                111.66              
2005      6         9         0.21                0.2                 95.12               
2005      7         7         0.28                0.2                 141.75              
2005      8         4         0.32                0.22                215.79              
2005      9         8         0.24                0.15                137.46              
2005      10        6         0.25                0.21                208.74              
2005      11        10        0.3                 0.32                120.46              
2005      12        8         0.2                 0.29                332.86              
2006      1         11        0.07                0.22                99.35               
2006      2         8         0.07                0.25                73.75               
2006      3         8         0.06                0.19                56.49               
2006      4         5         0.19                0.22                77.22               
2006      5         3         0.13                0.21                154.07              
2006      6         7         0.42                0.26                1029.93             
2006      7         5         0.34                0.17                265.03              
2006      8         9         0.35                0.12                332.48              
2006      9         6         0.24                0.13                236.29              
2006      10        4         0.25                0.14                192.4               
2006      11        15        0.16                0.16                263.21              
2006      12        6         0.09                0.08                83.89               
2007      1         10        0.03                0.27                55.26               
2007      2         7         0.05                0.16                42.02               
2007      3         22        0.05                0.22                59.85               
2007      4         19        0.05                0.23                46.97               
2007      5         17        0.09                0.2                 51.18               
2007      6         14        0.17                0.23                92.83               
2007      7         23        0.37                0.08                940.5               
2007      8         22        0.3                 0.45                300.21              
2007      9         19        0.22                0.15                265.54              
2007      10        17        0.11                0.18                149.53              
2007      11        21        0.26                0.3                 142.87              
2007      12        13        0.09                0.21                137.87              
2008      1         17        0.06                0.25                68.56               
2008      2         19        0.06                0.1                 76.98               
2008      3         12        0.08                0.25                70.68               
2008      4         16        0.06                0.09                86.52               
2008      5         14        0.1                 0.15                61.8                
2008      6         12        0.12                0.15                60.12               
2008      7         16        0.18                0.14                65.14               
2008      8         26        0.46                0.28                250.1               
2008      9         23        0.16                0.21                107.71              
2008      10        14        0.13                0.18                77.41               
