Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         19        0.007               0.13                285.94              
2005      2         17        0.01                0.11                490.87              
2005      3         23        0.009               0.1                 273.5               
2005      4         20        0.01                0.12                216.25              
2005      5         24        0.003               0.08                171.17              
2005      6         15        0.12                0.17                437.46              
2005      7         19        0.05                0.13                887.28              
2005      8         23        0.09                0.11                2626.13             
2005      9         19        0.09                0.11                2742.79             
2005      10        18        0.02                0.08                1216.74             
2005      11        16        0.01                0.15                1648.92             
2005      12        14        0.007               0.1                 854.62              
2006      1         18        0.01                0.16                284.18              
2006      2         14        0.003               0.09                128.89              
2006      3         21        0.007               0.1                 160.04              
2006      4         19        0.006               0.13                180.33              
2006      5         17        0.02                0.09                440.37              
2006      6         14        0.009               0.09                263.77              
2006      7         19        0.07                0.17                1048.13             
2006      8         17        0.005               0.09                374.11              
2006      9         21        0.01                0.14                763.74              
2006      10        25        0.02                0.12                261.53              
2006      11        23        0.007               0.17                174.02              
2006      12        18        0.01                0.13                111.91              
2007      1         24        0.01                0.23                121.72              
2007      3         13        0.02                0.9                 79.85               
2007      4         10        0.006               0.23                186.86              
2007      5         8         0.01                0.27                307.76              
2007      6         19        0.08                0.06                548.38              
2007      7         25        0.04                0.05                586.1               
2007      8         21        0.06                0.12                1171.89             
2007      9         18        0.05                0.09                1009.3              
2007      10        24        0.04                0.11                567.27              
2007      11        21        0.01                0.11                498.26              
2007      12        20        0.006               0.13                419.82              
2008      1         9         0.003               0.11                319.14              
2008      2         14        0.005               0.12                516.06              
2008      3         18        0.006               0.13                168.18              
2008      4         22        0.005               0.11                184.95              
2008      5         13        0.003               0.05                227.08              
2008      6         12        0.03                0.2                 533.5               
2008      7         17        0.008               0.11                561.93              
2008      8         21        0.005               0.08                459.06              
2008      9         16        0.09                0.16                1935.6              
2008      10        23        0.008               0.11                514.61              
2008      11        20        0.008               0.12                394.38              
2008      12        18        0.006               0.14                896.83              
2009      1         22        0.007               0.19                209.24              
2009      2         19        0.003               0.16                104.85              
2009      3         19        0.01                0.37                109.45              
2009      4         16        0.009               0.29                100.34              
2009      5         21        0.05                0.11                417.29              
2009      6         17        0.01                0.09                306.71              
2009      7         16        0.085               0.05                966.78              
2009      8         20        0.072               0.06                1178.24             
2009      9         24        0.046               0.08                1889.5              
2009      10        20        0.025               0.1                 2223.39             
2009      11        19        0.01                0.11                417.59              
2009      12        17        0.01                0.08                331.49              
2010      1         21        0.002               0.1                 237.95              
2010      2         17        0.029               0.38                700.61              
2010      3         18        0.028               0.09                596.42              
2010      4         15        0.003               0.07                405.57              
2010      5         12        0.026               0.05                500.15              
2010      6         10        0.019               0.05                535.63              
2010      8         11        0.046               0.28                2274.55             
2010      10        21        0.017               0.11                1790.63             
2010      11        18        0.006               0.14                2343.91             
2010      12        16        0.02                0.2                 2320.32             
2011      1         13        0.003               0.35                1555.61             
2011      2         14        0.017               0.12                2166.2              
2011      3         14        0.003               0.14                872.74              
2011      4         18        0.008               0.09                603.91              
2011      5         16        0.003               0.12                408.03              
2011      6         14        0.003               0.11                591.22              
2011      7         18        0.005               0.08                976.39              
2011      8         15        0.052               0.15                2047.63             
2011      9         19        0.13                0.1                 956.03              
2011      10        19        0.013               0.11                815.5               
2011      11        15        0.006               0.15                934.79              
2011      12        13        0.019               0.11                785.32              
2012      1         10        0.052               0.22                654.6               
2012      2         14        0.003               0.14                399.77              
2012      3         22        0.015               0.12                1334.58             
2012      4         19        0.005               0.08                554.9               
2012      5         17        0.006               0.08                494.09              
2012      6         21        0.054               0.13                1206.77             
2012      7         19        0.027               0.14                2427.0              
2012      8         23        0.005               0.14                1720.47             
2012      9         20        0.006               0.14                2076.75             
2012      10        18        0.015               0.23                2724.44             
2012      11        19        0.016               0.12                746.39              
2012      12        19        0.011               0.24                487.43              
2013      1         16        0.011               0.22                206.69              
2013      2         21        0.011               0.21                168.43              
2013      3         20        0.003               0.13                161.77              
2013      4         18        0.003               0.13                377.82              
2013      5         23        0.008               0.07                638.73              
2013      6         20        0.016               0.18                1186.96             
2013      7         18        0.023               0.11                2361.28             
2013      8         22        0.02                0.12                2751.18             
2013      9         19        0.02                0.2                 3057.7              
2013      10        17        0.003               0.08                980.67              
2013      11        21        0.004               0.15                608.27              
2013      12        12        0.003               0.25                638.05              
2014      1         16        0.004               0.16                209.45              
2014      2         20        0.004               0.16                135.78              
2014      3         20        0.003               0.14                151.04              
2014      4         15        0.004               0.28                367.52              
2014      5         22        0.003               0.11                294.1               
2014      6         18        0.004               0.16                922.69              
