Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         5         0.27                0.32                350.99              
2005      2         9         0.27                0.54                726.14              
2005      3         17        0.22                0.25                257.21              
2005      4         14        0.22                0.28                240.96              
2005      5         19        0.31                0.2                 209.32              
2005      6         16        0.32                0.29                232.51              
2005      7         14        0.34                0.37                272.57              
2005      8         9         0.33                0.36                330.43              
2005      9         15        0.53                0.59                730.87              
2005      10        12        0.36                0.37                448.96              
2005      11        16        0.33                0.71                602.52              
2005      12        15        0.26                0.51                229.3               
2006      1         24        0.12                0.73                163.32              
2006      2         14        0.16                0.28                150.21              
2006      3         15        0.22                0.22                210.76              
2006      4         26        0.25                0.34                200.75              
2006      5         18        0.24                0.23                206.11              
2006      6         14        0.33                0.22                180.69              
2006      7         25        0.37                0.36                212.02              
2006      8         17        0.36                0.26                183.53              
2006      9         14        0.34                0.23                206.75              
2006      10        24        0.23                0.25                129.28              
2006      11        16        0.23                0.74                332.08              
2006      12        14        0.02                0.2                 98.17               
2007      1         23        0.12                0.29                146.69              
2007      2         22        0.06                0.26                74.29               
2007      3         7         0.07                0.42                64.97               
2007      4         11        0.16                0.21                82.34               
2007      5         8         0.25                0.33                119.95              
2007      6         12        0.35                0.24                134.44              
2007      7         4         0.63                0.48                560.95              
2007      8         8         0.34                0.31                410.66              
2007      9         11        0.3                 0.38                247.26              
2007      10        9         0.24                0.23                255.66              
2007      11        14        0.28                0.38                185.4               
2007      12        13        0.14                0.32                133.97              
2008      1         8         0.09                0.2                 128.93              
2008      2         12        0.12                0.73                134.93              
2008      3         5         0.14                0.25                102.64              
2008      4         1         0.12                0.24                118.05              
2008      5         6         0.14                0.13                122.07              
2008      6         4         0.26                0.2                 119.98              
2008      7         3         0.29                0.39                228.82              
2008      8         7         0.36                0.32                208.73              
2008      9         8         0.34                0.26                249.46              
2008      10        6         0.26                0.41                224.31              
2008      11        5         0.31                0.71                301.78              
2008      12        2         0.21                0.34                290.02              
2009      1         8         0.13                0.26                165.12              
2009      2         16        0.01                0.29                99.82               
2009      3         2         0.008               0.25                91.38               
2009      4         1         0.04                0.25                90.97               
2009      5         4         0.18                0.2                 123.01              
2009      6         2         0.17                0.23                117.32              
2009      7         6         0.214               0.53                391.18              
2009      8         5         0.245               0.13                194.14              
2009      9         2         0.303               0.17                319.94              
2009      10        5         0.519               0.19                524.64              
2009      11        3         0.278               0.19                300.53              
2010      1         5         0.156               0.21                159.85              
2010      2         3         0.066               0.28                110.64              
2010      3         2         0.131               0.18                108.74              
2010      4         12        0.179               0.11                150.15              
2010      5         6         0.223               0.05                218.94              
2010      6         2         0.256               0.32                168.07              
2010      7         7         0.31                0.26                193.52              
2010      8         4         0.65                0.78                440.48              
2010      9         8         0.55                0.51                705.7               
2010      10        6         0.39                0.29                301.91              
2010      11        3         0.39                0.52                562.39              
2010      12        1         0.34                0.61                445.45              
2011      1         5         0.26                0.39                251.31              
2011      2         1         0.21                0.33                181.45              
2011      3         8         0.28                0.3                 255.6               
2011      4         5         0.3                 0.34                266.5               
2011      5         4         0.34                0.38                334.85              
2011      6         1         0.44                0.32                394.61              
2011      7         6         0.45                0.31                570.9               
2011      8         3         0.57                0.27                511.67              
2011      9         5         0.48                0.27                374.25              
2011      10        4         0.61                0.55                709.31              
2011      11        7         0.38                0.29                369.61              
2011      12        6         0.44                0.35                513.63              
2012      1         4         0.27                0.39                351.54              
2012      2         1         0.25                0.43                375.53              
2012      3         7         0.26                0.46                315.8               
2012      4         3         0.29                0.33                250.5               
2012      5         7         0.36                0.39                353.64              
2012      6         6         1.0                 1.1                 3283.27             
2012      7         3         0.56                0.81                1761.21             
2012      8         7         0.45                0.45                629.18              
2012      9         4         0.49                0.34                658.7               
2012      10        8         0.41                0.4                 717.57              
2012      11        6         0.37                0.37                457.07              
2012      12        4         0.28                0.43                351.19              
2013      1         9         0.2                 0.48                223.71              
2013      2         6         0.23                0.3                 185.34              
2013      3         5         0.22                0.36                175.58              
2013      4         3         0.22                0.28                198.98              
2013      5         6         0.26                0.33                201.09              
2013      6         4         0.32                0.37                290.27              
2013      7         2         0.4                 0.24                265.02              
2013      8         7         0.39                0.47                521.84              
2013      9         4         0.4                 0.29                373.4               
2013      10        8         0.4                 0.26                414.5               
2013      11        12        0.29                0.32                329.89              
2013      12        4         0.3                 0.57                298.46              
2014      1         8         0.22                0.29                255.9               
2014      2         11        0.14                0.25                143.1               
2014      3         11        0.2                 0.22                144.09              
2014      4         2         0.19                0.31                143.64              
2014      4         3         0.69                0.62                145.33              
2014      5         6         0.25                0.42                298.73              
2014      6         11        0.36                0.3                 251.51              
2014      7         2         0.8                 0.48                885.7               
2014      7         3         0.8                 0.48                672.01              
2014      8         12        0.45                0.37                645.92              
2014      9         3         0.4                 0.57                610.2               
2014      10        8         0.34                0.74                499.52              
2014      11        11        0.31                0.3                 250.83              
2014      12        3         0.28                0.3                 229.26              
2015      1         7         0.16                0.33                182.11              
2015      2         19        0.21                0.46                194.45              
2015      3         10        0.2                 0.45                174.67              
2015      5         4         0.31                0.28                191.14              
2015      5         27        0.31                0.34                238.21              
2015      6         10        0.34                0.39                254.68              
2015      7         7         0.35                0.16                222.21              
2015      8         4         0.44                0.62                802.75              
2015      9         8         0.49                0.35                506.15              
2015      10        8         0.35                0.26                273.64              
2015      11        11        0.3                 0.29                239.51              
2015      12        2         0.19                0.35                196.07              
2016      1         5         0.17                0.34                144.89              
2016      2         23        0.16                0.35                132.38              
2016      3         10        0.13                0.26                104.33              
2016      4         13        0.23                0.24                144.11              
2016      5         12        0.22                0.39                292.85              
2016      6         15        0.34                0.25                208.31              
2016      7         4         0.38                0.54                300.17              
