Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         5         0.005               0.62                1.44                
2005      3         3         0.01                1.5                 2.51                
2005      4         5         0.01                1.1                 1.83                
2005      5         4         0.004               0.82                2.53                
2005      6         2         0.01                0.54                2.63                
2005      7         5         0.007               0.38                2.96                
2005      8         2         0.003               0.33                2.56                
2005      8         3         0.1                 0.75                2.63                
2005      9         6         0.008               0.33                2.46                
2005      10        4         0.01                0.36                2.23                
2005      11        3         0.75                0.33                2.3                 
2005      12        5         0.003               0.46                2.47                
2006      1         4         0.01                0.56                1.19                
2006      2         1         0.003               0.63                1.99                
2006      3         1         0.007               0.71                2.14                
2006      4         5         0.007               0.73                2.18                
2006      5         2         0.01                0.24                3.12                
2006      6         5         0.008               0.38                2.81                
2006      7         4         0.003               0.3                 2.9                 
2006      8         3         0.003               0.31                3.06                
2006      9         5         0.008               0.28                3.27                
2006      10        3         0.009               0.3                 3.03                
2006      11        2         0.01                0.43                2.84                
2006      12        5         0.008               0.45                1.09                
2007      1         4         0.01                0.56                1.63                
2007      2         5         0.01                0.36                1.57                
2007      3         6         0.01                0.44                1.7                 
2007      4         3         0.01                0.26                2.34                
2007      5         2         0.006               0.12                4.51                
2007      6         6         0.006               0.39                2.58                
2007      7         3         0.003               0.18                2.53                
2007      8         7         0.01                0.36                2.13                
2007      9         4         0.008               0.47                1.92                
2007      10        4         0.01                0.48                1.72                
2007      11        7         0.01                0.58                4.57                
2007      12        4         0.05                1.4                 3.78                
2008      1         3         0.01                1.1                 0.9                 
2008      2         5         0.01                0.84                1.24                
2008      3         4         0.01                0.62                0.9                 
2008      4         2         0.009               0.75                1.92                
2008      5         5         0.05                0.68                2.76                
2008      6         3         0.04                0.48                1.78                
2008      9         3         0.08                0.54                2.06                
2008      10        2         0.003               0.47                1.02                
2008      11        6         0.005               0.45                1.55                
2008      12        3         0.004               0.51                0.81                
2009      1         6         0.007               0.68                0.51                
2009      2         4         0.01                0.76                0.37                
2009      3         2         0.005               0.9                 0.47                
2009      4         6         0.003               0.79                1.88                
2009      5         5         0.01                0.66                2.26                
2009      6         2         0.01                0.59                2.48                
2009      7         1         0.016               0.56                2.05                
2009      8         6         0.008               0.33                3.24                
2009      9         2         0.016               0.39                2.98                
2009      10        6         0.012               0.46                2.68                
2009      11        12        0.002               0.33                0.71                
2009      12        1         0.002               0.95                6.33                
2010      1         12        0.098               0.56                0.04                
2010      2         2         0.012               0.64                0.54                
2010      3         4         0.004               0.44                0.56                
2010      4         7         0.029               0.69                2.27                
2010      5         3         0.042               0.69                1.81                
2010      6         2         0.02                0.52                2.36                
2010      7         6         0.003               0.57                2.2                 
2010      8         4         0.003               0.51                2.84                
2010      9         7         0.003               0.73                7.79                
2010      10        5         0.006               0.52                2.26                
2010      11        10        0.016               0.83                2.69                
2010      12        6         0.097               2.6                 100.34              
2011      1         11        0.019               1.7                 3.63                
2011      2         2         0.065               3.3                 6.83                
2011      3         3         0.012               1.5                 7.8                 
2011      4         4         0.006               1.4                 2.37                
2011      5         4         0.005               1.1                 2.71                
2011      6         2         0.003               0.82                1.88                
2011      7         5         0.003               0.56                1.97                
2011      8         2         0.036               0.43                2.05                
2011      9         7         0.012               0.63                1.84                
2011      10        6         0.008               0.5                 3.4                 
2011      11        7         0.021               0.58                2.96                
2011      12        7         0.3                 2.4                 4.22                
2012      1         10        0.015               1.6                 1.26                
2012      2         2         0.004               1.5                 1.05                
2012      3         6         0.022               1.3                 2.24                
2012      4         12        0.01                1.3                 1.58                
2012      5         9         0.004               0.66                5.55                
2012      6         12        2.4                 2.1                 15.69               
2012      7         10        1.4                 2.4                 4.68                
2012      8         7         0.12                1.3                 5.47                
2012      9         10        0.35                2.7                 3.36                
2012      10        8         0.01                1.8                 3.05                
2012      11        8         0.006               1.3                 2.72                
2012      12        4         0.006               1.4                 2.06                
2013      1         14        0.007               1.1                 0.53                
2013      2         5         0.004               0.93                1.04                
2013      3         13        0.003               0.86                0.77                
2013      4         4         0.012               0.85                1.3                 
2013      5         6         0.009               0.52                1.37                
2013      6         4         0.038               0.53                3.04                
2013      7         1         0.023               0.41                1.74                
2013      8         8         0.006               0.54                5.0                 
2013      9         3         0.005               0.45                2.11                
2013      10        7         0.007               0.64                3.58                
2013      11        12        0.005               0.72                2.23                
2013      12        10        0.003               0.56                2.76                
2014      1         14        0.004               0.63                0.66                
2014      2         11        0.007               0.63                0.53                
2014      3         11        0.01                0.59                1.02                
2014      4         2         0.008               0.74                1.32                
2014      5         6         0.014               0.62                2.0                 
2014      6         2         0.022               0.48                1.86                
2014      7         3         0.06                0.46                1.73                
2014      8         5         0.006               0.43                1.68                
2014      9         4         0.003               0.43                1.67                
2014      10        8         0.007               0.47                1.4                 
2014      11        10        0.018               0.53                0.82                
2014      12        3         0.024               0.58                0.85                
2015      2         10        0.01                0.84                0.58                
2015      3         5         0.01                0.86                1.14                
2015      4         1         0.015               0.86                0.78                
2015      5         4         0.016               0.63                1.41                
2015      6         4         0.011               0.35                1.55                
2015      7         1         0.009               0.28                1.34                
2015      8         12        0.005               0.34                1.59                
2015      9         1         0.006               0.37                1.44                
2015      9         1         0.006               0.37                1.44                
2015      10        8         0.003               0.63                0.87                
2015      11        4         0.013               0.52                1.18                
2015      12        2         0.01                0.56                0.57                
2016      1         4         0.006               0.59                0.4                 
2016      2         3         0.027               0.37                1.19                
2016      3         3         0.009               0.68                1.27                
2016      4         11        0.012               0.68                1.05                
2016      5         11        0.027               0.55                1.28                
2016      6         2         0.022               0.37                1.12                
2016      7         11        0.049               0.47                6.19                
2016      8         3         0.009               0.41                2.32                
2016      9         7         0.01                0.42                1.52                
2016      10        12        0.016               0.82                1.89                
2016      11        7         0.016               0.77                0.86                
2016      12        1         0.003               0.95                0.86                
2016      12        1         0.29                0.81                0.86                
2017      1         10        0.018               0.79                0.54                
2017      2         7         0.04                0.84                2.68                
2017      3         2         0.003               0.88                0.52                
2017      4         12        3.5                 1.9                 84.59               
2017      5         8         1.3                 2.7                 1.67                
2017      6         6         0.99                1.6                 1.39                
2017      7         6         0.4                 1.4                 1.53                
2017      8         2         0.16                1.1                 1.24                
2017      9         6         0.007               0.66                1.66                
2017      10        5         0.003               0.65                1.13                
2017      11        9         0.003               0.54                0.71                
2017      12        6         0.027               0.57                1.2                 
2018      1         9         0.003               0.72                0.32                
2018      2         5         0.005               0.7                 0.53                
2018      3         6         0.006               0.7                 0.43                
2018      4         9         0.014               0.65                0.67                
2018      5         2         0.032               0.83                0.86                
2018      6         6         0.032               0.65                1.43                
2018      7         5         0.023               0.53                1.31                
2018      8         8         0.003               0.45                1.26                
2018      9         4         0.008               0.42                1.37                
2018      10        8         0.015               0.63                0.48                
2018      11        7         0.017               0.63                1.37                
2018      12        10        0.003               0.86                0.39                
