Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         5         0.04                0.19                145.73              
2005      2         14        0.32                0.24                449.99              
2005      3         3         0.12                0.24                173.35              
2005      4         6         0.07                0.14                128.47              
2005      5         5         0.03                0.15                187.08              
2005      6         2         0.05                0.11                143.73              
2005      7         7         0.19                0.22                787.79              
2005      8         2         0.18                0.13                930.62              
2005      9         7         0.27                0.13                2463.68             
2005      10        6         0.19                0.15                1586.17             
2005      11        10        0.11                0.28                2490.8              
2005      12        1         0.06                0.17                556.61              
2006      1         12        0.06                0.24                127.6               
2006      2         6         0.04                0.16                42.76               
2006      3         7         0.05                0.22                50.33               
2006      4         6         0.02                0.06                83.7                
2006      5         9         0.02                0.34                117.46              
2006      6         1         0.04                0.12                81.36               
2006      7         5         0.09                0.16                95.5                
2006      8         9         0.08                0.17                67.4                
2006      9         19        0.06                0.33                49.34               
2006      10        5         0.04                0.32                51.33               
2006      11        9         0.04                0.22                3.82                
2006      12        5         0.01                0.26                18.94               
2007      1         17        0.04                0.33                14.13               
2007      2         6         0.04                0.25                4.34                
2007      3         7         0.01                0.38                7.62                
2007      4         4         0.01                0.24                22.56               
2007      5         16        0.01                0.15                37.41               
2007      6         7         0.99                0.3                 902.42              
2007      7         4         0.74                0.22                1636.39             
2007      8         14        0.54                0.17                1091.02             
2007      9         11        0.44                0.18                414.13              
2007      10        8         0.21                0.22                296.98              
2007      11        12        0.27                0.17                359.43              
2007      12        11        0.28                0.37                411.78              
2008      1         8         0.19                0.41                293.07              
2008      2         11        0.1                 0.2                 84.29               
2008      3         13        0.04                0.38                70.1                
2008      4         10        0.02                0.17                76.18               
2008      5         5         0.01                0.24                80.17               
2008      6         10        0.07                0.2                 41.45               
2008      7         15        0.3                 0.3                 999.23              
2008      8         5         0.34                0.17                1092.6              
2008      9         17        0.17                0.15                687.19              
2008      10        7         0.19                0.19                404.99              
2008      11        5         0.12                0.24                126.85              
2008      12        3         0.01                0.16                268.29              
2009      1         19        0.02                0.27                66.44               
2009      2         3         0.04                0.52                63.09               
2009      3         3         0.01                0.2                 70.88               
2009      4         15        0.01                0.15                68.45               
2009      5         14        0.01                0.11                61.4                
2009      6         4         0.01                0.13                61.13               
2009      7         8         0.348               0.18                697.78              
2009      8         4         0.234               0.15                720.5               
2009      9         10        0.182               0.11                935.44              
2009      10        7         0.176               0.17                1205.49             
2009      11        10        0.157               0.19                300.37              
2009      12        3         0.016               0.18                161.83              
2010      1         13        0.03                0.12                89.71               
2010      2         4         0.016               0.21                53.03               
2010      3         3         0.006               0.19                155.1               
2010      4         8         0.063               0.1                 157.54              
2010      5         6         0.042               0.07                515.73              
2010      6         3         0.173               0.05                258.52              
