Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         19        0.006               0.42                1.82                
2005      2         23        0.02                0.38                4.14                
2005      3         23        nan                 0.29                4.2                 
2005      3         23        0.009               0.29                4.2                 
2005      4         20        0.01                0.2                 6.28                
2005      5         25        0.01                0.18                3.11                
2005      6         22        0.02                0.15                0.76                
2005      7         20        0.23                0.35                24.3                
2005      8         17        0.09                0.34                12.15               
2005      9         21        0.02                0.19                20.03               
2005      10        19        0.01                0.05                5.26                
2005      11        16        0.01                0.29                31.56               
2005      12        21        0.01                0.29                12.44               
2006      1         18        0.003               0.31                4.52                
2006      2         22        0.01                0.29                0.52                
2006      3         22        0.009               0.25                0.01                
2006      4         12        0.006               0.31                2.68                
2006      5         17        0.01                0.17                2.09                
2006      6         21        0.04                0.22                7.41                
2006      7         19        0.03                0.21                77.35               
2006      8         23        0.03                0.17                7.47                
2006      9         20        0.07                0.24                19.32               
2006      10        31        0.01                0.15                2.42                
2006      11        22        0.01                0.24                2.03                
2006      12        20        0.05                0.26                0.0                 
2007      2         14        0.02                0.73                0.0                 
2007      3         15        0.008               0.64                0.84                
2007      4         26        0.29                0.33                15.02               
2007      5         28        0.01                0.28                2.82                
2007      6         26        1.7                 0.3                 91.04               
2007      7         18        0.75                0.18                141.56              
2007      8         14        0.22                0.22                41.01               
2007      9         27        0.009               0.25                14.83               
2007      10        25        0.04                0.31                11.14               
2007      11        28        0.17                0.3                 6.97                
2008      1         14        0.03                0.37                11.98               
2008      2         19        0.21                0.14                31.63               
2008      3         27        0.01                0.16                30.02               
2008      4         9         0.008               0.18                13.2                
2008      5         12        0.009               0.21                10.86               
2008      6         17        0.06                0.15                12.56               
2008      7         23        0.1                 0.14                15.19               
2008      8         27        0.23                0.22                39.93               
2008      9         22        0.07                0.21                17.12               
2008      10        15        0.02                0.21                11.29               
2008      11        25        0.6                 0.49                501.78              
2008      12        23        0.14                0.25                109.79              
2009      1         27        0.02                0.23                17.15               
2009      2         23        0.003               0.23                11.49               
2009      3         25        0.006               0.18                6.7                 
2009      4         20        0.01                0.15                7.3                 
2009      5         11        0.01                0.17                6.88                
2009      6         22        0.003               0.12                9.19                
2009      7         22        0.025               0.05                8.82                
2009      8         27        0.003               0.06                7.37                
2009      9         16        0.002               0.24                9.18                
2009      10        19        0.081               0.28                30.22               
2009      11        25        0.017               0.17                16.99               
2009      12        23        0.004               0.2                 8.94                
2010      1         27        0.002               0.29                5.45                
2010      2         24        0.238               0.05                22.93               
2010      4         19        0.044               0.07                6.53                
2010      5         26        0.002               0.06                8.44                
2010      6         28        0.163               0.09                36.58               
2010      7         26        0.11                0.13                15.93               
2010      8         24        0.29                0.2                 38.89               
