Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      9         20        0.12                1.2                 447.09              
2005      10        18        0.07                0.98                84.6                
2005      11        16        0.03                0.86                39.69               
2005      12        6         0.01                0.59                16.68               
2006      1         17        0.003               0.6                 2.44                
2006      2         13        0.003               0.58                2.47                
2006      3         7         0.01                0.65                1.84                
2006      4         11        0.006               0.63                4.35                
2006      5         10        0.01                0.34                47.26               
2006      6         15        0.006               0.4                 12.88               
2006      7         18        0.71                1.3                 1133.21             
2006      8         16        0.01                0.45                26.12               
2006      9         21        0.03                0.54                22.92               
2006      10        19        0.01                0.37                7.13                
2006      11        15        0.01                0.51                3.36                
2006      12        13        0.01                0.44                0.3                 
2007      1         18        0.01                1.2                 0.0                 
2007      2         13        0.01                0.56                1.01                
2007      3         20        0.005               0.75                1.39                
2007      4         16        0.008               0.52                2.04                
2007      5         16        0.005               0.06                9.54                
2007      6         21        0.003               0.33                19.88               
2007      7         24        0.5                 0.44                69.86               
2007      8         14        0.56                1.2                 424.96              
2007      9         18        0.006               0.5                 47.5                
2007      10        16        0.04                0.64                47.81               
2007      11        15        0.01                0.86                37.24               
2007      12        12        0.01                0.74                8.15                
2008      1         15        0.008               0.57                1.61                
2008      2         13        0.01                0.55                0.67                
2008      3         12        0.003               0.58                1.43                
2008      4         10        0.003               0.57                6.27                
2008      5         7         0.01                0.4                 8.96                
2008      6         11        0.008               0.27                10.17               
2008      7         8         0.01                0.34                40.09               
2008      8         5         0.008               0.45                99.93               
2008      9         9         0.01                0.54                44.22               
2008      10        6         0.01                0.58                17.52               
2008      11        5         0.01                0.64                4.54                
2008      12        8         0.01                0.71                2.68                
2009      1         13        0.004               0.66                2.97                
2009      2         9         0.003               0.83                0.0                 
2009      3         11        0.005               0.94                0.0                 
2009      4         7         0.003               0.85                0.0                 
2009      5         12        0.006               0.74                6.15                
2009      6         9         0.01                0.42                12.82               
2009      7         14        0.187               0.27                50.73               
2009      8         12        0.028               0.66                55.22               
2009      9         15        0.096               0.72                80.62               
2009      10        13        0.112               0.86                49.82               
2009      11        11        0.031               0.56                17.49               
2009      12        9         0.005               0.52                14.24               
2010      1         12        0.002               0.37                2.59                
2010      2         10        0.002               0.6                 1.14                
2010      3         11        0.012               0.55                6.12                
2010      4         12        0.006               0.34                8.17                
2010      5         13        0.018               0.19                41.44               
2010      6         9         0.004               0.56                18.87               
2010      7         12        0.01                0.36                29.14               
2010      8         17        0.49                1.2                 791.27              
2010      9         15        0.19                1.7                 373.64              
2010      10        12        0.096               1.7                 269.79              
2010      11        10        0.053               1.1                 69.18               
2010      12        15        0.008               0.77                60.64               
2011      1         17        0.048               2.0                 1625.28             
2011      2         9         0.003               1.6                 24.06               
2011      3         9         0.003               0.94                14.67               
2011      4         12        0.003               0.57                15.9                
2011      4         13        0.003               0.57                16.41               
2011      5         10        0.008               0.42                23.66               
2011      6         8         0.011               0.46                42.84               
2011      7         11        0.44                1.1                 414.74              
2011      8         11        0.17                1.3                 170.68              
2011      9         15        0.021               0.68                103.8               
2011      10        12        0.14                1.3                 79.46               
2011      11        8         0.039               0.72                32.64               
2011      12        5         0.017               0.78                33.86               
2012      1         11        0.011               0.78                4.18                
2012      2         8         0.003               0.84                3.48                
2012      3         14        0.003               0.62                15.39               
2012      4         10        0.005               0.35                9.18                
2012      5         7         0.003               0.41                29.5                
2012      6         12        0.35                0.71                160.78              
2012      7         9         0.24                0.8                 199.3               
2012      8         14        0.14                1.3                 348.74              
2012      9         11        0.075               1.5                 384.78              
2012      10        8         0.088               0.93                97.69               
2012      11        13        0.064               0.75                27.74               
2012      12        12        0.033               0.69                15.88               
2013      1         8         0.01                0.63                3.74                
2013      2         12        0.003               0.67                2.6                 
2013      3         12        0.004               0.75                2.18                
2013      4         9         0.003               0.68                2.64                
2013      5         7         0.008               0.48                5.4                 
2013      6         11        0.004               0.37                27.09               
2013      7         8         0.12                0.36                59.0                
2013      8         12        0.53                1.2                 920.77              
2013      9         9         0.11                1.0                 122.18              
2013      10        8         0.1                 1.5                 321.66              
2013      11        12        0.052               0.81                39.33               
2013      12        10        0.041               0.68                48.6                
2014      1         14        0.008               0.56                11.17               
2014      2         12        0.003               0.67                3.28                
2014      3         12        0.005               0.59                5.48                
2014      4         8         0.01                0.54                5.45                
2014      5         14        0.003               0.32                24.24               
2014      6         12        0.011               0.34                21.62               
2014      7         10        0.6                 0.91                355.63              
2014      8         13        0.12                0.93                229.08              
2014      9         10        0.039               0.62                58.11               
2014      10        8         0.023               0.63                33.11               
2014      12        10        0.003               0.68                8.07                
2015      1         14        0.032               0.78                3.78                
2015      2         12        0.004               0.75                1.33                
2015      3         11        0.003               0.74                2.1                 
2015      4         9         0.003               0.66                3.88                
2015      5         12        0.004               0.54                28.58               
2015      6         10        0.004               0.36                33.71               
2015      7         16        0.011               0.35                45.88               
2015      8         11        0.11                0.59                110.99              
2015      9         9         0.019               0.39                135.89              
2015      10        14        0.006               0.48                12.5                
2015      11        11        0.014               0.57                6.21                
2015      12        10        0.003               0.77                0.61                
2016      1         12        0.003               2.2                 0.0                 
2016      2         9         0.003               0.79                0.0                 
2016      3         9         0.003               1.8                 0.0                 
2016      4         13        0.005               0.59                0.0                 
2016      5         10        0.016               0.89                0.0                 
2016      6         15        0.003               0.36                50.39               
2016      7         18        0.66                0.59                185.46              
2016      8         9         0.27                1.0                 92.49               
2016      9         6         0.11                1.0                 75.13               
2016      10        10        0.1                 2.1                 388.6               
2016      11        10        0.11                0.78                62.74               
2016      12        6         0.02                0.72                15.86               
2017      1         16        0.01                0.77                3.33                
2017      2         13        0.003               0.81                2.93                
2017      3         15        0.008               0.85                0.91                
2017      4         12        0.034               0.43                20.22               
2017      5         10        0.05                0.54                28.87               
2017      6         13        0.006               0.41                37.47               
