Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         10        0.19                0.24                299.83              
2005      2         15        0.84                0.88                461.29              
2005      3         15        0.08                0.27                1689.33             
2005      4         12        0.06                0.21                303.19              
2005      5         10        0.08                0.22                243.73              
2005      6         6         0.06                0.21                350.89              
2005      7         11        0.32                0.31                268.69              
2005      8         9         0.28                0.38                267.22              
2005      9         13        0.45                0.8                 258.06              
2005      10        11        0.16                0.32                273.32              
2005      11        15        0.2                 0.63                288.83              
2005      12        13        0.01                0.3                 274.37              
2006      1         11        0.1                 0.33                2328.58             
2006      2         13        0.06                0.29                1481.74             
2006      3         8         0.07                0.27                1704.88             
2006      4         10        0.06                0.2                 453.84              
2006      5         15        0.07                0.19                289.12              
2006      6         13        0.26                0.29                422.68              
2006      7         18        0.21                0.18                327.81              
2006      8         15        0.23                0.44                336.0               
2006      9         12        0.09                0.23                428.82              
2006      10        10        0.009               0.26                469.22              
2006      11        13        0.005               0.17                405.92              
2006      12        11        0.007               0.36                410.36              
2007      1         9         0.006               0.24                434.45              
2007      2         13        0.01                0.2                 507.32              
2007      3         14        0.01                0.35                465.19              
2007      4         16        0.01                0.28                449.21              
2007      5         8         0.04                0.27                338.41              
2007      6         13        0.09                0.24                258.62              
2007      7         18        0.5                 0.43                265.1               
2007      8         16        0.6                 0.42                248.19              
2007      9         19        0.21                0.28                347.08              
2007      10        15        0.08                0.3                 452.37              
2007      11        15        0.06                0.35                354.05              
2007      12        18        0.12                0.35                923.7               
2008      1         15        0.16                0.3                 1362.05             
2008      2         11        0.2                 0.36                473.29              
2008      3         17        0.07                0.31                453.62              
2008      4         15        0.13                0.26                385.25              
2008      5         14        0.07                0.34                276.89              
2008      6         11        0.08                0.28                317.96              
2008      7         9         0.14                0.27                292.95              
2008      8         18        0.44                0.39                268.0               
2008      9         15        0.38                0.38                260.26              
2008      10        13        0.05                0.3                 302.97              
2008      11        13        0.01                0.3                 349.52              
2008      12        15        0.02                0.34                442.29              
2009      1         20        0.006               0.34                551.84              
2009      2         10        0.01                0.31                532.59              
2009      3         3         0.006               0.25                468.48              
2009      4         6         0.006               0.23                435.68              
2009      5         18        0.05                0.21                375.53              
2009      6         16        0.13                0.25                356.82              
2009      7         14        0.293               0.13                217.72              
2009      8         10        0.554               0.16                164.01              
2009      9         8         0.361               0.14                161.19              
2009      10        5         0.568               0.34                167.4               
2009      11        4         0.221               0.15                397.57              
2009      12        8         0.109               0.05                711.11              
2010      1         19        0.305               0.52                716.38              
2010      2         16        0.006               0.1                 648.44              
2010      3         16        0.216               0.17                443.86              
2010      5         19        0.048               0.29                369.26              
2010      6         15        0.129               0.12                314.22              
2010      7         21        0.48                1.1                 209.71              
2010      8         23        0.45                1.1                 11750.21            
2010      9         23        0.51                0.55                4711.47             
2010      10        20        0.26                0.94                7136.5              
2010      11        15        0.3                 0.66                2179.87             
2010      12        13        0.17                1.8                 21649.33            
2011      1         18        0.29                1.7                 29026.2             
2011      2         15        0.28                0.88                3220.84             
2011      3         16        0.18                0.44                2393.51             
2011      4         20        0.2                 0.34                2927.3              
2011      5         18        0.26                0.22                4564.92             
2011      6         15        0.28                0.17                3477.04             
2011      7         19        0.25                0.3                 13799.59            
2011      8         16        0.28                0.57                5680.77             
2011      9         20        0.17                0.35                286.79              
2011      10        18        0.29                0.42                254.13              
2011      11        15        0.16                0.68                5496.61             
2011      12        14        0.15                0.34                2137.45             
2012      1         18        0.054               0.35                1591.55             
2012      2         15        0.031               0.34                1404.26             
2012      3         28        0.17                0.32                4623.64             
2012      4         30        0.19                0.24                4604.15             
2012      5         23        0.17                0.25                905.67              
2012      6         21        0.29                0.27                1295.85             
2012      7         12        0.29                0.31                15087.81            
2012      8         16        0.23                0.83                6962.48             
2012      9         20        0.18                0.32                2197.85             
2012      10        15        0.19                0.28                2077.01             
2012      11        22        0.005               0.28                5588.48             
2012      12        13        0.069               0.29                2520.79             
2013      1         17        0.047               0.24                1709.11             
2013      2         13        0.061               0.26                1448.83             
2013      3         18        0.11                0.2                 2101.43             
2013      4         8         0.11                0.29                891.83              
2013      5         13        0.14                0.2                 962.66              
2013      6         20        0.17                0.34                476.71              
2013      7         11        0.21                0.26                501.6               
2013      8         13        0.41                0.72                650.6               
2013      9         16        0.22                0.56                532.14              
2013      10        21        0.13                0.25                1924.33             
2013      11        18        0.12                0.24                8563.53             
2013      12        9         0.11                0.22                7941.11             
2014      1         20        0.057               0.28                2957.69             
2014      2         24        0.075               0.24                971.57              
2014      3         20        0.094               0.26                2750.01             
2014      4         28        0.11                0.34                882.52              
2014      5         28        0.15                0.32                1285.42             
2014      6         23        0.31                0.52                1109.92             
2014      7         21        0.35                0.62                4706.24             
2014      9         24        0.17                0.29                2887.4              
2014      10        21        0.11                0.23                8616.9              
2014      11        20        0.09                0.22                7496.53             
2014      12        16        0.009               0.32                951.88              
2015      1         20        0.055               0.3                 2337.41             
2015      2         17        0.059               0.24                2784.81             
2015      3         26        0.1                 0.22                2380.35             
2015      4         21        0.11                0.23                894.55              
2015      5         26        0.088               0.29                894.53              
2015      6         24        0.13                0.2                 4824.13             
2015      7         23        0.13                0.22                522.25              
2015      8         26        0.29                0.23                841.8               
2015      9         23        0.13                0.47                792.08              
2015      10        27        0.044               0.21                644.19              
2015      11        19        0.003               0.25                590.96              
2015      12        15        0.008               0.24                704.68              
2016      1         19        0.03                0.31                717.62              
2016      2         17        0.035               0.2                 835.75              
2016      3         22        0.063               0.16                2538.18             
2016      4         26        0.023               0.21                742.35              
2016      5         24        0.068               0.24                551.14              
2016      6         22        0.22                0.29                588.82              
2016      7         21        0.41                0.57                496.86              
2016      8         23        0.42                0.43                2369.59             
2016      9         27        0.38                0.83                5492.65             
2016      10        26        0.27                0.27                5098.1              
2016      11        21        0.12                0.28                826.41              
2016      12        14        0.062               0.28                843.25              
2017      1         23        0.009               0.26                1453.1              
2017      2         16        0.079               0.24                1094.57             
2017      3         23        0.069               0.24                2185.61             
2017      4         27        0.12                0.28                973.02              
2017      5         25        0.24                0.2                 865.38              
2017      6         26        0.26                0.22                7306.0              
2017      7         24        0.17                0.22                821.14              
2017      8         21        0.35                0.62                846.52              
2017      9         25        0.13                0.31                7685.39             
