Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         4         0.12                0.18                2592.75             
2005      1         10        0.08                0.18                3424.67             
2005      1         17        0.09                0.16                1606.38             
2005      1         24        0.1                 0.17                1131.86             
2005      1         31        0.09                0.23                969.54              
2005      2         7         0.15                0.23                1621.76             
2005      2         14        0.11                0.17                1214.83             
2005      2         21        0.07                0.17                1265.33             
2005      2         28        0.12                0.28                878.78              
2005      3         7         0.09                0.16                925.34              
2005      3         15        0.12                0.19                824.31              
2005      3         21        0.1                 0.09                828.12              
2005      3         22        0.11                0.09                812.78              
2005      3         29        0.12                0.17                598.25              
2005      4         4         0.12                0.12                654.58              
2005      4         11        0.11                0.19                617.46              
2005      4         12        0.11                0.14                603.42              
2005      4         18        0.11                0.17                624.94              
2005      4         26        0.12                0.18                587.07              
2005      5         2         0.22                0.13                625.99              
2005      5         9         0.11                0.16                599.87              
2005      5         10        0.11                0.13                605.22              
2005      5         16        0.11                0.17                573.31              
2005      5         23        0.09                0.14                570.87              
2005      5         30        0.13                0.17                593.79              
2005      6         6         0.11                0.13                586.24              
2005      6         14        0.21                0.26                797.04              
2005      6         14        0.22                0.27                797.04              
2005      6         20        0.21                0.37                1312.15             
2005      6         27        0.3                 0.14                1155.27             
2005      7         4         0.24                0.22                1267.23             
2005      7         11        0.21                0.19                1432.91             
2005      7         12        0.24                0.16                1341.43             
2005      7         18        0.24                0.21                1303.96             
2005      7         25        0.18                0.15                1575.87             
2005      8         1         0.18                0.15                1730.54             
2005      8         8         0.22                0.17                2672.25             
2005      8         9         0.22                0.21                2571.69             
2005      8         15        0.2                 0.15                3341.68             
2005      8         22        0.22                0.23                2624.78             
2005      8         29        0.26                0.13                1735.69             
2005      9         5         0.28                0.18                3443.09             
2005      9         12        0.28                0.3                 6890.84             
2005      9         13        0.28                0.27                5492.5              
2005      9         19        0.33                0.2                 2911.4              
2005      9         26        0.31                0.25                2103.44             
2005      10        3         0.22                0.11                3102.4              
2005      10        10        0.23                0.19                2470.67             
2005      10        11        0.22                0.16                2323.83             
2005      10        17        0.23                0.19                1674.41             
2005      10        24        0.2                 0.22                1557.84             
2005      11        1         0.17                0.24                1752.32             
2005      11        7         0.18                0.16                1601.4              
2005      11        8         0.17                0.36                2125.91             
2005      11        14        0.15                0.1                 1623.16             
2005      11        21        0.15                0.17                1326.68             
2005      11        28        0.16                0.37                1149.02             
2005      12        5         0.17                0.2                 1167.25             
2005      12        12        0.14                0.19                917.4               
2005      12        19        0.12                0.16                878.96              
2005      12        20        0.12                0.15                798.01              
2005      12        28        0.12                0.22                643.25              
2006      1         3         0.11                0.21                659.64              
2006      1         9         0.11                0.21                620.6               
2006      1         10        0.1                 0.18                614.56              
2006      1         16        0.12                0.33                611.34              
2006      1         23        0.07                0.2                 2153.85             
2006      1         30        0.16                0.24                485.47              
2006      2         6         0.07                0.3                 610.58              
2006      2         13        0.08                0.18                591.8               
2006      2         14        0.09                0.12                487.08              
2006      2         20        0.1                 0.17                569.15              
2006      2         27        0.07                0.25                1709.68             
2006      3         6         0.1                 0.21                528.52              
2006      3         14        0.13                0.11                485.77              
2006      3         20        0.2                 0.18                636.48              
2006      3         27        0.12                0.1                 546.16              
2006      4         3         0.13                0.12                587.65              
2006      4         10        0.12                0.15                587.92              
2006      4         11        0.12                0.14                527.71              
2006      4         18        0.12                0.39                546.81              
2006      4         26        0.11                0.12                547.16              
2006      5         1         0.1                 0.15                702.99              
2006      5         8         0.12                0.22                956.02              
2006      5         9         0.11                0.17                691.95              
2006      5         15        0.1                 0.12                707.87              
2006      5         22        0.09                0.16                659.79              
2006      5         29        0.08                0.19                661.84              
2006      6         5         0.09                0.27                648.39              
2006      6         13        0.12                0.15                503.52              
2006      6         19        0.11                0.09                432.82              
2006      6         26        0.09                0.18                475.26              
2006      7         3         0.11                0.2                 572.94              
