Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         6         0.14                0.1                 5024.38             
2005      2         2         0.14                0.13                3652.11             
2005      3         10        0.14                0.13                4632.66             
2005      4         6         0.1                 0.17                8345.99             
2005      5         4         0.11                0.16                2079.83             
2005      6         2         0.03                0.22                123.83              
2005      7         7         0.09                0.21                145.15              
2005      8         3         0.08                0.18                1020.93             
2005      9         8         0.17                0.29                149.4               
2005      10        5         0.11                0.18                141.94              
2005      11        9         0.07                0.16                920.66              
2005      12        7         0.09                0.14                2567.65             
2006      1         4         0.13                0.14                8234.4              
2006      2         2         0.15                0.18                6577.51             
2006      3         2         0.09                0.12                7689.79             
2006      4         6         0.05                0.13                7123.38             
2006      5         9         0.04                0.25                411.74              
2006      6         7         0.02                0.2                 137.89              
2006      7         12        0.08                0.23                140.14              
2006      8         9         0.04                0.22                601.23              
2006      9         6         0.06                0.19                4027.21             
2006      10        4         0.03                0.18                4610.65             
2006      11        9         0.01                0.16                2573.23             
2006      11        14        0.05                0.81                2580.46             
2006      12        6         0.01                0.11                3620.05             
2007      1         4         0.02                0.22                1578.47             
2007      2         8         0.03                0.27                1683.42             
2007      3         6         0.03                0.16                1415.67             
2007      4         2         0.04                0.19                1541.18             
2007      5         9         0.11                0.04                131.58              
2007      6         6         0.2                 0.26                135.82              
2007      7         4         0.25                0.21                131.13              
2007      8         14        0.55                0.2                 127.8               
2007      9         12        0.49                0.15                995.01              
2007      10        10        0.52                0.14                809.27              
2007      11        14        0.44                0.17                2008.88             
2007      12        12        0.49                0.13                2454.73             
2008      1         9         0.43                0.17                3254.98             
2008      2         6         0.32                0.01                3864.74             
2008      3         5         0.23                0.23                4652.07             
2008      4         10        0.2                 0.14                2820.27             
2008      5         7         0.19                0.19                443.57              
2008      6         5         0.16                0.22                107.12              
2008      7         3         0.14                0.22                130.88              
2008      8         6         0.14                0.21                499.28              
2008      9         3         0.19                0.15                138.52              
2008      10        9         0.19                0.15                1566.23             
2008      11        5         0.18                0.15                2027.42             
2008      12        10        0.12                0.15                2005.94             
2009      1         14        0.003               0.19                3987.92             
2009      2         18        0.04                0.18                3008.62             
2009      3         12        0.03                0.17                2696.0              
2009      4         15        0.04                0.19                1852.2              
2009      5         12        0.11                0.15                1199.43             
2009      6         10        0.04                0.19                134.02              
2009      7         22        0.093               0.14                133.29              
2009      8         19        0.144               0.18                134.98              
2009      9         15        0.126               0.22                131.74              
2009      10        14        0.132               0.23                140.23              
2009      11        17        0.11                0.14                3511.92             
2009      12        15        0.127               0.2                 2057.3              
2010      1         12        0.131               0.08                2503.19             
2010      2         9         0.06                0.1                 3983.23             
2010      3         10        0.141               0.08                1045.69             
2010      4         14        0.081               0.07                1970.65             
2010      5         11        0.028               0.14                539.47              
2010      6         8         0.008               0.11                173.0               
2010      7         13        0.12                0.32                122.11              
2010      8         11        0.15                0.19                2014.17             
2010      9         15        0.18                0.54                130.27              
2010      10        5         0.17                0.34                132.27              
2010      11        4         0.17                0.48                133.51              
2010      12        2         0.15                0.25                139.48              
2011      1         6         0.18                0.11                998.12              
2011      2         3         0.2                 0.17                2517.58             
2011      3         2         0.11                0.17                258.07              
2011      4         7         0.19                0.15                1528.23             
2011      5         5         0.16                0.18                1526.68             
2011      6         2         0.25                0.16                3000.34             
2011      7         6         0.2                 0.17                4833.09             
2011      8         3         0.15                0.15                1482.43             
2011      9         8         0.093               0.17                249.65              
2011      10        6         0.092               0.25                265.0               
2011      11        3         0.13                0.1                 2000.9              
2011      12        8         0.15                0.16                3450.38             
2012      1         12        0.14                0.17                4053.42             
2012      2         8         0.15                0.18                2990.26             
2012      3         15        0.17                0.16                3889.42             
2012      4         12        0.21                0.16                8659.75             
2012      5         9         0.22                0.17                3108.48             
2012      6         14        0.16                0.21                222.67              
2012      7         11        0.13                0.17                4869.7              
2012      8         8         0.14                0.17                3067.48             
2012      9         12        0.13                0.14                7338.39             
2012      10        10        0.087               0.15                231.84              
2012      11        14        0.14                0.11                6295.58             
2012      12        12        0.13                0.15                4378.75             
2013      1         10        0.14                0.24                7618.9              
2013      2         12        0.17                0.13                8596.1              
2013      3         20        0.19                0.14                7620.17             
2013      4         10        0.19                0.15                7155.2              
2013      5         8         0.21                0.14                4883.11             
2013      6         13        0.088               0.26                112.19              
2013      7         10        0.12                0.19                430.78              
2013      8         8         0.14                0.26                124.7               
2013      9         12        0.094               0.2                 112.34              
2013      10        9         0.12                0.13                1144.65             
2013      11        12        0.14                0.13                5619.49             
2013      12        11        0.15                0.12                7000.39             
2014      1         16        0.11                0.19                8290.0              
2014      2         19        0.18                0.12                5050.67             
2014      3         12        0.19                0.16                6018.87             
2014      4         16        0.16                0.33                889.93              
2014      5         14        0.18                0.14                1125.01             
2014      6         12        0.065               0.25                105.99              
2014      7         10        0.12                0.19                1473.81             
2014      8         20        0.092               0.21                128.04              
2014      9         18        0.1                 0.15                687.55              
2014      10        9         0.13                0.15                2953.99             
2014      11        13        0.13                0.14                4751.23             
2014      12        10        0.13                0.14                2651.74             
2015      1         14        0.11                0.14                4058.11             
2015      2         11        0.18                0.14                7831.61             
2015      3         12        0.18                0.17                8062.77             
2015      4         9         0.18                0.11                4543.99             
2015      5         20        0.057               0.01                173.35              
2015      6         10        0.066               0.2                 177.86              
2015      7         8         0.082               0.17                126.13              
2015      8         12        0.075               0.2                 122.68              
2015      9         9         0.091               0.14                1014.66             
2015      10        14        0.11                0.11                8747.9              
2015      11        11        0.1                 0.13                1016.48             
2015      12        3         0.11                0.13                4052.2              
2016      1         6         0.13                0.13                3025.1              
2016      2         4         0.14                0.11                2514.76             
2016      3         10        0.12                0.16                7050.63             
2016      4         13        0.052               0.18                3994.31             
2016      5         11        0.034               0.17                261.78              
2016      6         8         0.036               0.2                 140.31              
2016      7         13        0.079               0.19                144.99              
2016      8         11        0.16                0.33                138.05              
2016      9         20        0.12                0.23                181.65              
2016      10        13        0.12                0.25                183.14              
2016      11        10        0.11                0.1                 797.36              
2016      12        6         0.11                0.12                1999.86             
2017      1         11        0.14                0.12                3822.78             
2017      2         2         0.15                0.12                3408.05             
2017      3         7         0.16                0.12                6808.87             
2017      4         11        0.18                0.11                2830.06             
2017      5         10        0.18                0.11                1124.18             
2017      6         15        0.036               0.18                135.5               
2017      7         12        0.1                 0.15                2578.99             
2017      8         8         0.086               0.18                402.53              
2017      9         13        0.072               0.16                406.94              
2017      10        5         0.08                0.08                2225.08             
2017      11        9         0.092               0.12                2442.34             
2017      12        7         0.12                0.25                550.22              
2018      1         10        0.1                 0.13                4088.43             
2018      2         13        0.12                0.13                4224.4              
2018      3         15        0.12                0.22                9505.78             
2018      4         11        0.16                0.19                8060.76             
2018      5         9         0.094               0.1                 1522.36             
2018      6         14        0.039               0.32                306.68              
2018      7         12        0.1                 0.17                2056.51             
2018      8         9         0.092               0.14                2344.71             
2018      9         6         0.081               0.12                2213.18             
2018      10        9         0.1                 0.24                8576.57             
2018      11        12        0.09                0.15                3386.44             
2018      12        12        0.091               0.1                 3533.68             
