Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      9         20        0.11                447.09              
2005      10        18        0.06                84.6                
2005      11        16        0.05                39.69               
2005      12        6         0.04                16.68               
2006      1         17        0.04                2.44                
2006      2         13        0.03                2.47                
2006      3         7         0.03                1.84                
2006      4         11        0.02                4.35                
2006      5         10        0.01                47.26               
2006      6         15        0.01                12.88               
2006      7         18        0.11                1133.21             
2006      8         16        0.01                26.12               
2006      9         21        0.02                22.92               
2006      10        19        0.005               7.13                
2006      11        15        0.02                3.36                
2006      12        13        0.02                0.3                 
2007      1         18        0.15                0.0                 
2007      2         13        0.04                1.01                
2007      3         20        0.06                1.39                
2007      4         16        0.02                2.04                
2007      5         16        0.04                9.54                
2007      6         21        0.01                19.88               
2007      7         24        0.03                69.86               
2007      8         14        0.08                424.96              
2007      9         18        0.04                47.5                
2007      10        16        0.05                47.81               
2007      11        15        0.05                37.24               
2007      12        12        0.02                8.15                
2008      1         15        0.03                1.61                
2008      2         13        0.03                0.67                
2008      3         12        0.02                1.43                
2008      4         10        0.03                6.27                
2008      5         7         0.01                8.96                
2008      6         11        0.01                10.17               
2008      7         8         0.01                40.09               
2008      8         5         0.03                99.93               
2008      9         9         0.02                44.22               
2008      10        6         0.02                17.52               
2008      11        5         0.03                4.54                
2008      12        8         0.04                2.68                
2009      1         13        0.04                2.97                
2009      2         9         0.07                0.0                 
2009      3         11        0.08                0.0                 
2009      4         7         0.05                0.0                 
2009      5         12        0.04                6.15                
2009      6         9         0.03                12.82               
2009      7         14        0.021               50.73               
2009      8         12        0.036               55.22               
2009      9         15        0.031               80.62               
2009      10        13        0.022               49.82               
2009      11        11        0.041               17.49               
2009      12        9         0.021               14.24               
2010      1         12        0.022               2.59                
2010      2         10        0.047               1.14                
2010      3         11        0.037               6.12                
2010      4         12        0.01                8.17                
2010      5         13        0.06                41.44               
2010      6         9         0.014               18.87               
2010      7         12        0.017               29.14               
2010      8         17        0.13                791.27              
2010      9         15        0.2                 373.64              
2010      10        12        0.15                269.79              
2010      11        10        0.084               69.18               
2010      12        15        0.068               60.64               
2011      1         17        0.3                 1625.28             
2011      2         9         0.13                24.06               
2011      3         9         0.078               14.67               
2011      4         12        0.045               15.9                
2011      4         13        0.045               16.41               
2011      5         10        0.038               23.66               
2011      6         8         0.032               42.84               
2011      7         11        0.12                414.74              
2011      8         11        0.11                170.68              
2011      9         15        0.053               103.8               
2011      10        12        0.1                 79.46               
2011      11        8         0.049               32.64               
2011      12        5         0.061               33.86               
2012      1         11        0.075               4.18                
2012      2         8         0.085               3.48                
2012      3         14        0.064               15.39               
2012      4         10        0.009               9.18                
2012      5         7         0.031               29.5                
2012      6         12        0.077               160.78              
2012      7         9         0.07                199.3               
2012      8         14        0.11                348.74              
2012      9         11        0.14                384.78              
2012      10        8         0.094               97.69               
2012      11        13        0.085               27.74               
2012      12        12        0.054               15.88               
2013      1         8         0.039               3.74                
2013      2         12        0.055               2.6                 
2013      3         12        0.071               2.18                
2013      4         9         0.049               2.64                
2013      5         7         0.034               5.4                 
2013      6         11        0.022               27.09               
2013      7         8         0.03                59.0                
2013      8         12        0.11                920.77              
2013      9         9         0.089               122.18              
2013      10        8         0.18                321.66              
2013      11        12        0.051               39.33               
2013      12        10        0.078               48.6                
2014      1         14        0.05                11.17               
2014      2         12        0.06                3.28                
2014      3         12        0.065               5.48                
2014      4         8         0.07                5.45                
2014      5         14        0.023               24.24               
2014      6         12        0.021               21.62               
2014      7         10        0.092               355.63              
2014      8         13        0.053               229.08              
2014      9         10        0.086               58.11               
2014      10        8         0.047               33.11               
2014      12        10        0.035               8.07                
2015      1         14        0.066               3.78                
2015      2         12        0.067               1.33                
2015      3         11        0.041               2.1                 
2015      4         9         0.024               3.88                
2015      5         12        0.043               28.58               
2015      6         10        0.016               33.71               
2015      7         16        0.014               45.88               
2015      8         11        0.051               110.99              
2015      9         9         0.021               135.89              
2015      10        14        0.028               12.5                
2015      11        11        0.047               6.21                
2015      12        10        0.057               0.61                
2016      1         12        0.32                0.0                 
2016      2         9         0.12                0.0                 
2016      3         9         0.36                0.0                 
2016      4         13        0.09                0.0                 
2016      5         10        0.094               0.0                 
2016      6         15        0.02                50.39               
2016      7         18        0.045               185.46              
2016      8         9         0.044               92.49               
2016      9         6         0.057               75.13               
2016      10        10        0.36                388.6               
2016      11        10        0.095               62.74               
2016      12        6         0.04                15.86               
2017      1         16        0.045               3.33                
2017      2         13        0.049               2.93                
2017      3         15        0.049               0.91                
2017      4         12        0.04                20.22               
2017      5         10        0.049               28.87               
2017      6         13        0.019               37.47               
2017      7         11        0.013               43.96               
2017      8         8         0.047               79.41               
2017      9         13        0.26                437.82              
2017      10        11        0.085               59.22               
2017      11        14        0.044               18.44               
2017      12        6         0.047               14.9                
2018      1         15        0.095               1.53                
2018      2         15        0.12                0.0                 
2018      3         15        0.087               0.0                 
2018      4         19        0.065               0.02                
2018      5         16        0.028               41.82               
2018      6         12        0.02                19.34               
2018      7         11        0.013               248.26              
2018      8         9         0.14                1225.65             
2018      9         5         0.046               100.69              
2018      10        16        0.032               16.89               
2018      11        13        0.033               14.85               
2018      12        10        0.033               3.56                
