Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         4         0.48                188.78              
2005      1         10        0.37                126.68              
2005      1         17        0.4                 112.53              
2005      1         24        0.41                156.1               
2005      1         31        0.45                92.56               
2005      2         7         0.78                1293.52             
2005      2         14        0.84                826.68              
2005      2         21        0.56                417.68              
2005      2         28        0.48                355.52              
2005      3         15        0.4                 102.99              
2005      3         21        0.3                 106.44              
2005      3         29        0.26                77.4                
2006      1         3         0.31                106.62              
2006      1         9         0.28                72.57               
2006      1         16        0.41                157.71              
2006      1         23        0.41                95.87               
2006      1         30        0.32                102.01              
2006      2         6         0.35                138.75              
2006      2         13        0.16                133.04              
2006      2         20        0.078               175.95              
2006      2         28        0.29                297.74              
2006      3         6         0.21                175.17              
2006      3         15        0.067               133.07              
2006      3         20        0.1                 172.52              
2006      3         27        0.082               92.66               
2006      4         3         0.083               110.05              
2006      4         10        0.074               138.13              
2006      4         18        0.054               158.34              
2006      4         25        0.13                217.48              
2006      5         1         0.13                244.92              
2006      5         8         0.057               220.99              
2006      5         15        0.051               128.98              
2006      5         22        0.22                356.21              
2006      5         29        0.14                117.51              
2006      6         5         0.2                 10.0                
2006      6         13        0.2                 3.08                
2006      6         19        0.21                1.06                
2006      6         26        0.2                 2.1                 
2006      7         3         0.18                9.34                
2006      7         10        0.17                0.96                
2006      7         17        0.22                1.47                
2006      7         24        0.24                38.58               
2006      7         31        0.22                1.9                 
2006      8         7         0.24                1.0                 
2006      8         14        0.037               44.17               
2006      8         21        0.17                41.63               
2006      8         28        0.26                34.43               
2006      9         11        0.15                155.77              
2006      9         11        0.21                155.77              
2006      9         18        0.14                28.73               
2006      9         25        0.22                24.45               
2006      10        2         0.19                30.03               
2006      10        9         0.3                 27.56               
2006      10        16        0.02                273.27              
2006      10        23        0.073               178.65              
2006      10        30        0.19                122.07              
2006      11        6         0.24                81.21               
2006      11        13        0.078               65.04               
2006      11        20        0.31                104.33              
2007      7         16        0.14                134.88              
2007      7         23        0.16                79.17               
2007      7         30        0.18                59.76               
2007      8         6         0.19                59.13               
2007      8         13        0.17                65.66               
2007      8         20        0.2                 57.83               
2007      8         27        0.053               61.65               
2007      9         3         0.28                169.72              
2007      9         10        0.24                122.99              
2007      9         17        0.3                 79.73               
2007      9         24        0.38                34.91               
2007      10        1         0.34                50.75               
2007      10        8         0.4                 45.44               
2007      10        15        0.45                41.75               
2007      10        22        0.34                40.03               
2007      10        29        0.43                70.78               
2007      11        5         0.42                36.5                
2007      11        12        0.36                63.76               
2007      11        19        0.43                33.42               
2007      11        26        0.38                52.69               
2007      12        3         0.51                162.59              
2007      12        10        0.38                78.87               
2007      12        17        0.35                64.63               
2007      12        26        0.23                97.91               
2009      7         6         0.178               7.34                
2009      7         13        0.167               9.52                
2009      7         20        0.242               5.1                 
2009      7         27        0.183               5.36                
2009      8         3         0.089               5.37                
2009      8         10        0.267               6.21                
2009      8         17        0.241               4.33                
2009      8         24        0.234               2.77                
2009      8         31        0.31                7.85                
2009      9         7         0.279               101.16              
2009      9         14        0.093               0.0                 
2009      9         22        0.279               29.25               
2009      9         28        0.362               101.4               
2009      10        5         0.305               130.33              
2009      10        12        0.01                97.19               
2009      10        19        0.076               99.6                
2009      10        26        0.022               92.19               
2009      11        4         0.029               95.82               
2009      11        9         0.096               98.15               
2009      11        16        0.04                116.92              
2009      11        23        0.024               138.84              
2009      12        7         0.018               96.71               
2009      12        14        0.014               87.98               
2009      12        21        0.384               98.17               
2009      12        29        0.076               118.21              
2010      1         4         0.092               142.09              
2010      1         11        0.095               135.64              
2010      1         18        0.049               202.36              
2010      1         27        0.026               229.05              
2010      2         1         0.031               227.14              
2010      2         8         0.065               296.79              
2010      2         15        0.173               249.3               
2010      2         22        0.07                184.5               
2010      3         1         0.01                204.0               
2010      3         9         0.055               335.78              
2010      3         15        0.034               166.36              
2010      3         22        0.029               133.29              
2010      3         29        0.06                192.4               
2010      4         6         0.116               218.99              
2010      4         12        0.026               109.28              
2010      4         19        0.055               69.42               
2010      4         27        0.157               55.16               
2010      5         3         0.008               83.04               
2010      5         10        0.035               49.19               
2010      5         17        0.18                0.0                 
2010      5         24        0.034               49.54               
2010      5         31        0.244               118.4               
2010      6         7         0.032               29.76               
2010      6         15        0.02                21.98               
2010      6         21        0.02                27.91               
2010      6         28        0.038               12.67               
2010      7         5         0.23                0.55                
2010      7         12        0.25                0.0                 
2010      7         19        0.2                 14.85               
2010      7         26        0.25                3.79                
2010      8         2         0.31                18.04               
2010      8         9         0.18                10.41               
2010      8         16        0.22                11.59               
2010      8         23        0.3                 338.82              
2010      8         30        0.42                374.0               
2010      9         6         0.56                1185.9              
2010      9         13        0.62                1240.07             
2010      9         21        0.32                2687.47             
2010      9         28        0.36                126.33              
2010      10        4         0.44                4.87                
2010      10        11        0.15                99.22               
2010      10        18        0.44                758.05              
2010      10        25        0.47                693.78              
2010      11        3         0.38                112.9               
2010      11        8         0.38                64.09               
2010      11        15        0.36                238.82              
2010      11        22        0.72                171.23              
2010      11        29        0.41                316.12              
2010      12        6         0.38                984.81              
2010      12        13        0.68                2371.98             
2010      12        20        0.76                6012.85             
2010      12        29        0.67                5151.92             
2011      1         4         0.58                2342.02             
2011      1         10        0.31                373.09              
2011      1         25        0.33                374.03              
2011      1         31        0.35                317.0               
2011      2         7         0.41                1444.81             
2011      2         14        0.36                1347.93             
2011      2         21        0.39                1791.36             
2011      2         28        0.41                553.31              
2011      3         7         0.36                400.97              
2011      3         15        0.34                338.97              
2011      3         21        0.36                264.16              
2011      3         28        0.37                135.71              
2011      4         4         0.36                245.74              
2011      4         11        0.32                276.28              
2011      4         18        0.3                 205.05              
2011      4         27        0.38                155.08              
2011      5         2         0.42                162.87              
2011      5         9         0.27                210.33              
2011      5         16        0.25                116.76              
2011      5         23        0.26                125.86              
2011      5         30        0.25                20.67               
2011      6         6         0.26                9.74                
2011      6         14        0.18                15.83               
2011      6         20        0.25                14.0                
2011      6         27        0.22                17.36               
2011      7         4         0.25                4.0                 
2011      7         11        0.25                0.0                 
2011      7         18        0.28                0.0                 
2011      7         25        0.29                0.0                 
2011      8         1         0.3                 6.03                
2011      8         8         0.25                3.24                
2011      8         16        0.42                38.66               
2011      8         22        0.38                234.09              
2011      8         29        0.37                343.07              
2011      9         5         0.38                61.83               
2011      9         12        0.48                108.72              
2011      9         19        0.37                72.23               
2011      9         26        0.79                143.66              
2011      10        3         0.46                143.94              
2011      10        10        0.38                60.71               
2011      10        17        0.35                35.42               
2011      10        24        0.32                46.82               
2011      10        31        0.38                217.36              
2011      11        7         0.25                67.87               
2011      11        14        0.39                178.78              
2011      11        21        0.33                86.74               
2011      11        28        0.36                229.06              
2011      12        5         0.41                130.75              
2011      12        12        0.43                141.66              
2011      12        19        0.42                163.53              
2011      12        28        0.41                146.95              
2012      1         3         0.43                116.82              
2012      1         9         0.37                217.41              
2012      1         16        0.32                233.88              
2012      1         23        0.36                226.8               
2012      1         30        0.28                279.76              
2012      2         6         0.23                198.33              
2012      2         13        0.27                162.53              
2012      2         20        0.27                214.91              
2012      2         27        0.25                304.28              
2012      3         5         0.6                 2443.88             
2012      3         13        0.52                3656.87             
2012      3         19        0.65                3808.11             
2012      3         26        0.53                2986.24             
2012      4         2         0.72                1745.15             
2012      4         10        0.71                519.33              
2012      4         16        0.65                270.91              
2012      4         23        0.47                580.21              
2012      4         30        0.44                211.95              
2012      5         8         0.46                178.02              
2012      5         15        0.35                154.8               
2012      5         21        0.33                74.53               
2012      5         28        0.29                76.69               
2012      6         4         0.26                53.65               
2012      6         12        0.24                32.95               
2012      6         19        0.25                17.38               
2012      6         26        0.23                12.38               
2012      7         2         0.26                15.53               
2012      7         9         0.23                17.7                
2012      7         16        0.24                313.65              
2012      7         23        0.24                143.88              
2012      7         30        0.32                96.57               
2012      8         6         0.37                19.53               
2012      8         13        0.48                81.88               
2012      8         20        0.55                265.51              
2012      8         28        0.48                253.42              
2012      9         4         0.39                355.61              
2012      9         10        0.46                267.82              
2012      9         17        0.31                193.51              
2012      9         24        0.33                408.18              
2012      10        2         0.33                305.73              
2012      10        8         0.34                676.13              
2012      10        15        0.44                312.87              
2012      10        22        0.38                214.47              
2012      10        30        0.38                252.21              
2012      11        6         0.49                311.08              
2012      11        13        0.44                185.08              
2012      11        19        0.48                247.83              
2012      11        26        0.37                199.54              
2012      12        3         0.44                258.91              
2012      12        10        0.41                234.39              
2012      12        17        0.41                194.17              
2012      12        27        0.43                230.52              
2013      1         3         0.36                192.56              
2013      1         7         0.45                170.13              
2013      1         14        0.48                176.43              
2013      1         21        0.39                208.84              
2013      1         29        0.3                 188.85              
2013      2         4         0.34                97.95               
2013      2         11        0.36                163.84              
2013      2         18        0.28                178.33              
2013      2         25        0.21                168.18              
2013      3         4         0.25                349.02              
2013      3         12        0.21                136.5               
2013      3         18        0.26                62.16               
2013      3         26        0.28                206.48              
2013      4         2         0.24                274.53              
2013      4         8         0.19                132.83              
2013      4         15        0.17                117.72              
2013      4         22        0.17                196.75              
2013      4         29        0.17                157.81              
2013      5         6         0.11                121.16              
2013      5         13        0.15                111.68              
2013      5         20        0.16                129.75              
2013      5         27        0.15                32.1                
2013      6         3         0.2                 167.41              
2013      6         11        0.18                65.84               
2013      6         18        0.42                163.31              
2013      6         25        0.33                29.9                
2013      7         1         0.34                52.24               
2013      7         8         0.34                9.37                
2013      7         15        0.48                2.55                
2013      7         22        0.38                180.59              
2013      7         29        0.48                17.55               
2013      8         5         0.47                35.02               
2013      8         12        0.45                8.53                
2013      8         19        0.3                 8.27                
2013      8         26        0.48                30.49               
2013      9         2         0.51                211.72              
2013      9         9         0.61                210.91              
2013      9         16        0.43                302.7               
2013      9         23        0.29                234.88              
2013      9         30        0.35                202.76              
2013      10        7         0.29                236.65              
2013      10        14        0.23                176.89              
2013      10        21        0.43                252.85              
2013      10        28        0.31                282.31              
2013      11        6         0.31                255.61              
2013      11        11        0.3                 274.36              
2013      11        18        0.28                294.26              
2013      11        25        0.32                168.35              
2013      12        2         0.34                224.24              
2014      1         8         0.27                259.64              
2014      2         6         0.24                222.16              
2014      3         17        0.14                207.41              
2014      4         14        0.32                1183.84             
2014      5         19        0.19                76.57               
2014      6         17        0.1                 144.74              
2014      7         14        0.38                121.99              
2014      8         19        0.5                 13.64               
2014      9         15        0.47                100.48              
2014      10        20        0.38                247.85              
2014      11        17        0.28                300.01              
2014      12        15        0.32                329.18              
2015      1         19        0.17                206.76              
2015      2         16        0.19                283.3               
2015      3         16        0.18                246.63              
2015      4         27        0.13                166.4               
2015      5         18        0.16                138.88              
2015      6         15        0.12                16.69               
2015      7         13        0.14                11.65               
2015      8         17        0.17                99.91               
2015      9         21        0.17                143.24              
2015      10        19        0.38                272.18              
2015      11        16        0.29                191.6               
2015      12        14        0.28                310.17              
2016      1         18        0.16                314.51              
2016      2         15        0.15                303.81              
2016      3         15        0.045               323.43              
2016      4         18        0.2                 221.79              
2016      5         16        0.24                158.06              
2016      6         20        0.19                53.87               
2016      7         18        0.58                311.08              
2016      8         22        0.49                258.52              
2016      9         26        0.48                4194.55             
2016      10        17        0.47                7657.47             
2016      11        21        0.35                229.37              
2016      12        19        0.24                243.88              
2017      1         16        0.21                308.26              
2017      2         13        0.23                304.36              
2017      3         27        0.16                289.8               
2017      4         26        0.13                288.91              
2017      5         22        0.087               204.64              
2017      6         13        0.13                35.56               
2017      7         10        0.1                 35.16               
2017      8         14        0.16                29.54               
2017      9         11        0.34                187.94              
2017      10        9         0.18                195.49              
2017      11        8         0.094               301.78              
2017      12        11        0.24                127.67              
2018      1         8         0.29                228.97              
2018      2         5         0.18                242.72              
2018      3         5         0.19                224.95              
2018      4         9         0.13                101.58              
2018      5         7         0.11                241.05              
2018      6         4         0.089               37.72               
2018      7         2         0.15                28.42               
2018      8         6         0.15                12.35               
2018      9         10        0.036               202.29              
2018      10        8         0.19                288.29              
2018      11        13        0.21                308.17              
2018      12        3         0.25                315.62              
