Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         19        0.04                60.05               
2005      2         9         0.04                176.79              
2005      3         10        0.03                54.27               
2005      4         12        0.04                34.19               
2005      5         10        0.02                28.53               
2005      6         14        0.03                66.18               
2005      7         14        0.02                71.29               
2005      8         11        0.07                670.74              
2005      9         14        0.02                762.89              
2005      10        11        0.06                734.97              
2005      11        16        0.03                178.4               
2005      12        13        0.06                50.39               
2006      1         16        0.05                28.22               
2006      2         16        0.13                25.45               
2006      3         14        0.01                24.83               
2006      4         12        0.01                28.93               
2006      5         10        0.02                289.64              
2006      6         19        0.02                46.44               
2006      7         11        0.01                141.98              
2006      8         9         0.01                127.51              
2006      9         13        0.01                182.46              
2006      10        11        0.01                59.2                
2006      11        8         0.01                79.65               
2006      12        12        0.02                25.03               
2007      1         22        0.09                216.79              
2007      2         14        0.02                70.47               
2007      3         7         0.05                26.87               
2007      4         2         0.02                27.67               
2007      5         8         0.04                39.06               
2007      6         6         0.02                67.15               
2007      7         3         0.04                611.56              
2007      8         7         0.03                641.37              
2007      9         3         0.04                110.28              
2007      10        2         0.06                856.2               
2007      11        7         0.05                610.71              
2007      12        11        0.03                54.21               
2008      1         21        0.04                50.92               
2008      2         19        0.03                28.57               
2008      3         19        0.05                17.95               
2008      4         28        0.02                31.05               
2008      5         20        0.03                89.23               
2008      6         17        0.02                62.62               
2008      7         15        0.02                196.82              
2008      8         14        0.04                680.54              
2008      9         16        0.03                187.2               
2008      11        20        0.03                38.03               
2008      12        22        0.03                84.26               
2009      1         20        0.03                28.28               
2009      2         18        0.04                25.15               
2009      3         17        0.05                55.89               
2009      4         16        0.03                20.08               
2009      5         18        0.03                135.96              
2009      6         16        0.02                115.32              
2009      7         21        0.086               168.02              
2009      8         19        0.034               436.07              
2009      9         22        0.028               299.94              
2009      10        22        0.025               270.72              
2009      11        19        0.015               55.68               
2009      12        17        0.032               64.48               
2010      1         19        0.026               86.89               
2010      3         16        0.016               31.16               
2010      4         21        0.027               32.66               
2010      5         20        0.019               74.71               
2010      6         17        0.027               143.65              
2010      7         20        0.047               289.2               
2010      8         16        0.079               1208.11             
2010      9         22        0.045               353.33              
2010      10        18        0.072               389.84              
2010      11        16        0.062               155.91              
2010      12        21        0.05                198.69              
2011      1         19        0.088               221.91              
2011      2         15        0.043               69.19               
2011      3         16        0.038               71.2                
2011      4         19        0.03                83.57               
2011      5         17        0.029               208.12              
2011      6         22        0.16                1708.65             
2011      7         26        0.06                792.81              
2011      8         17        0.088               609.98              
2011      9         27        0.034               137.57              
2011      11        14        0.039               105.34              
2011      12        21        0.038               63.38               
2012      1         19        0.038               42.37               
2012      2         16        0.042               54.95               
2012      3         22        0.034               54.72               
2012      4         23        0.032               33.33               
2012      5         14        0.03                166.18              
2012      6         20        0.066               433.46              
2012      7         19        0.045               460.43              
2012      8         21        0.084               882.78              
2012      9         17        0.032               308.31              
2012      10        22        0.031               187.98              
2012      11        15        0.035               80.29               
2012      12        19        0.047               68.87               
2013      1         15        0.033               43.84               
2013      2         19        0.039               21.78               
2013      3         14        0.041               17.7                
2013      4         16        0.028               24.08               
2013      5         14        0.029               40.1                
2013      6         18        0.078               144.94              
2013      7         16        0.07                519.02              
2013      8         21        0.092               1857.41             
2013      9         17        0.075               505.07              
2013      10        17        0.032               238.95              
2013      11        19        0.02                282.42              
2013      12        18        0.026               131.52              
2014      1         20        0.058               57.45               
2014      2         18        0.035               49.23               
2014      3         19        0.062               51.3                
2014      4         16        0.026               43.34               
2014      5         21        0.019               46.75               
2014      6         17        0.033               156.39              
2014      7         15        0.032               650.14              
2014      8         12        0.038               461.92              
2014      9         9         0.029               156.87              
2014      10        14        0.027               111.58              
2014      11        13        0.031               48.45               
2014      12        9         0.036               73.44               
2015      2         11        0.033               27.28               
2015      3         11        0.027               40.89               
2015      4         14        0.029               36.3                
2015      5         12        0.13                383.78              
2015      6         18        0.017               139.76              
2015      7         14        0.07                430.76              
2015      8         18        0.034               326.61              
2015      9         17        0.037               302.29              
2015      10        14        0.025               70.99               
2015      11        18        0.025               36.22               
2015      12        7         0.03                43.82               
2016      1         14        0.013               24.66               
2016      2         16        0.03                16.53               
2016      3         17        0.029               18.31               
2016      4         12        0.024               19.89               
2016      5         11        0.028               162.81              
2016      6         7         0.013               70.99               
2016      7         12        0.04                300.2               
2016      8         9         0.032               294.5               
2016      9         13        0.055               645.41              
2016      10        13        0.074               801.92              
2016      11        17        0.021               347.43              
2016      12        8         0.031               100.38              
2017      1         12        0.03                45.64               
2017      2         16        0.03                65.92               
2017      3         9         0.034               32.78               
2017      4         5         0.024               33.42               
2017      5         18        0.018               64.47               
2017      6         8         0.018               100.33              
2017      7         11        0.018               223.82              
2017      8         23        0.041               548.93              
2017      9         21        0.038               595.59              
2017      10        19        0.026               201.31              
2017      11        22        0.031               71.85               
2017      12        13        0.044               65.53               
2018      1         23        0.027               46.2                
2018      2         20        0.03                38.71               
2018      3         14        0.053               30.15               
2018      4         18        0.031               77.03               
2018      5         23        0.034               220.34              
2018      6         26        0.015               164.61              
2018      7         23        0.054               472.59              
2018      8         16        0.058               1031.77             
2018      9         13        0.025               193.71              
2018      10        22        0.041               163.65              
2018      11        21        0.028               63.48               
2018      12        20        0.037               81.79               
