Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         18        0.01                17.11               
2005      2         10        0.02                102.13              
2005      3         9         0.01                20.26               
2005      4         13        0.01                15.8                
2005      5         10        0.01                17.68               
2005      6         20        0.02                186.63              
2005      7         12        0.01                110.9               
2005      8         16        0.02                193.45              
2005      9         13        0.02                223.11              
2005      10        11        0.01                216.8               
2005      11        14        0.008               105.02              
2005      12        12        0.01                21.16               
2006      2         22        0.01                5.37                
2006      3         14        0.01                2.64                
2006      4         18        0.02                13.29               
2006      5         11        0.02                63.48               
2006      6         20        0.01                39.54               
2006      7         12        0.01                84.47               
2006      8         14        0.01                86.34               
2006      9         13        0.03                139.4               
2006      10        16        0.02                15.82               
2006      11        13        0.03                1.45                
2006      12        13        0.04                0.0                 
2007      1         23        0.11                990.9               
2007      2         15        0.01                3.36                
2007      3         15        0.04                0.12                
2007      4         16        0.02                5.08                
2007      5         9         0.03                32.69               
2007      6         13        0.02                138.84              
2007      7         17        0.04                459.58              
2007      8         27        0.09                423.46              
2007      9         13        0.05                176.8               
2007      10        15        0.05                103.78              
2007      11        15        0.09                387.63              
2007      12        13        0.03                19.55               
2008      1         14        0.04                2.01                
2008      2         19        0.03                0.0                 
2008      3         17        0.02                0.43                
2008      4         15        0.02                13.0                
2008      5         26        0.01                46.84               
2008      6         10        0.02                27.59               
2008      7         24        0.02                87.47               
2008      8         19        0.03                183.19              
2008      9         9         0.04                240.16              
2008      10        15        0.02                60.67               
2008      12        10        0.02                10.34               
2009      1         20        0.05                1.9                 
2009      2         12        0.02                0.0                 
2009      3         23        0.03                0.0                 
2009      4         22        0.03                6.41                
2009      5         21        0.01                16.23               
2009      6         24        0.01                40.02               
2009      7         16        0.049               366.97              
2009      8         31        0.302               4705.53             
2009      9         17        0.049               635.41              
2009      10        21        0.05                531.53              
2009      11        18        0.01                80.74               
2009      12        15        0.045               29.24               
2010      1         13        0.041               4.87                
2010      2         16        0.034               2.94                
2010      3         16        0.012               0.23                
2010      4         20        0.014               24.32               
2010      5         19        0.013               24.62               
2010      6         10        0.012               64.75               
2010      7         20        0.011               171.49              
2010      8         23        0.13                3195.04             
2010      9         23        0.14                1451.31             
2010      10        19        0.075               366.05              
2010      11        16        0.11                148.55              
2010      12        15        0.075               6388.58             
2011      1         12        0.15                392.76              
2011      2         14        0.24                308.37              
2011      3         21        0.046               188.71              
2011      4         18        0.044               402.37              
2011      5         18        0.037               354.2               
2011      6         20        0.054               487.27              
2011      7         18        0.27                3003.57             
2011      8         18        0.33                10633.93            
2011      9         19        0.1                 706.41              
2011      10        17        0.043               371.52              
2011      11        21        0.024               120.74              
2011      12        15        0.02                55.76               
2012      1         11        0.029               28.18               
2012      2         15        0.042               26.52               
2012      3         20        0.026               24.63               
2012      4         16        0.015               35.73               
2012      5         14        0.021               74.16               
2012      6         18        0.028               107.28              
2012      7         24        0.07                754.46              
2012      8         21        0.24                7046.42             
2012      9         13        0.14                1696.93             
2012      10        17        0.049               456.5               
2012      11        21        0.037               135.03              
2012      12        12        0.028               92.96               
2013      1         8         0.016               4.74                
2013      2         19        0.027               50.16               
2013      3         19        0.023               7.29                
2013      4         17        0.018               19.92               
2013      5         22        0.027               187.27              
2013      6         17        0.039               160.45              
2013      7         18        0.046               580.47              
2013      8         19        0.2                 5910.47             
2013      9         16        0.11                701.76              
2013      10        15        0.036               451.3               
2013      11        20        0.039               214.0               
2013      12        10        0.024               96.42               
2014      1         20        0.018               16.23               
2014      2         17        0.026               6.29                
2014      3         17        0.021               22.72               
2014      4         14        0.019               44.19               
2014      5         19        0.02                83.56               
2014      6         16        0.022               152.72              
2014      7         17        0.092               1185.43             
2014      8         18        0.11                966.29              
2014      9         16        0.033               275.86              
2014      10        20        0.014               156.62              
2014      11        19        0.03                77.73               
2014      12        11        0.021               38.37               
2015      2         17        0.018               52.91               
2015      3         16        0.019               13.3                
2015      4         20        0.016               52.47               
2015      5         18        0.026               100.05              
2015      6         15        0.013               123.87              
2015      7         21        0.017               239.73              
2015      8         17        0.017               209.97              
2015      9         21        0.017               140.96              
2015      10        20        0.02                20.34               
2015      11        16        0.028               12.26               
2015      12        9         0.033               2.51                
2016      1         14        0.053               0.0                 
2016      2         17        0.029               0.0                 
2016      3         15        0.01                0.99                
2016      4         18        0.025               9.33                
2016      5         17        0.021               69.23               
2016      6         21        0.017               94.76               
2016      7         18        0.12                1886.21             
2016      8         16        0.13                2453.74             
2016      9         13        0.18                18711.85            
2016      10        18        0.2                 2515.24             
2016      11        14        0.14                863.77              
2016      12        12        0.11                175.74              
2017      1         24        0.025               87.38               
2017      2         20        0.018               37.53               
2017      3         21        0.026               57.89               
2017      4         18        0.02                79.42               
2017      5         15        0.017               141.2               
2017      6         20        0.016               211.59              
2017      7         17        0.035               341.37              
2017      8         14        0.096               2882.96             
2017      9         18        0.18                5278.99             
2017      10        16        0.09                1233.2              
2017      11        20        0.17                894.13              
2017      12        12        0.027               263.45              
2018      1         22        0.018               40.93               
2018      2         19        0.019               45.04               
2018      3         19        0.024               75.55               
2018      4         16        0.021               85.96               
2018      5         14        0.024               208.0               
2018      6         19        0.037               430.32              
2018      7         23        0.047               745.29              
2018      8         20        0.22                4689.14             
2018      9         12        0.051               550.32              
2018      10        16        0.026               221.0               
2018      11        20        0.021               70.17               
2018      12        10        0.018               49.15               
