Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         4         0.07                7.51                
2005      1         10        0.08                3.24                
2005      1         17        0.03                19.1                
2005      1         24        0.03                17.09               
2005      1         31        0.02                16.29               
2005      2         7         0.07                47.82               
2005      2         14        0.07                11.25               
2005      2         21        0.03                20.5                
2005      2         28        0.03                19.5                
2005      3         7         0.02                17.43               
2005      3         15        0.02                18.03               
2005      3         21        0.02                16.19               
2005      3         29        0.02                19.32               
2005      4         4         0.02                16.62               
2005      4         11        0.02                22.86               
2005      4         18        0.02                21.72               
2005      4         26        0.02                17.17               
2005      5         3         0.01                18.72               
2005      5         9         0.01                18.06               
2005      5         16        0.02                15.78               
2005      5         23        0.03                2.72                
2005      5         30        0.01                11.68               
2005      6         6         0.01                22.71               
2005      6         14        0.01                30.3                
2005      6         20        0.02                40.75               
2005      6         27        0.02                37.44               
2005      7         4         0.02                30.3                
2005      7         11        0.02                33.5                
2005      7         18        0.02                33.96               
2005      7         25        0.02                37.29               
2005      8         1         0.02                36.95               
2005      8         8         0.02                28.04               
2005      8         15        0.02                33.04               
2005      8         22        0.02                39.87               
2005      8         29        0.02                38.75               
2005      9         5         0.02                39.08               
2005      9         12        0.02                34.97               
2005      9         19        0.02                34.06               
2005      9         26        0.02                37.51               
2005      10        3         0.02                34.03               
2005      10        10        0.02                40.05               
2005      10        17        0.27                36.4                
2005      10        24        0.02                25.97               
2005      10        31        0.02                21.72               
2005      11        7         0.03                73.46               
2005      11        14        0.02                22.58               
2005      11        21        0.03                19.74               
2005      11        28        0.03                17.79               
2005      12        6         0.009               22.08               
2005      12        12        0.03                19.64               
2005      12        19        0.04                17.73               
2005      12        28        0.04                18.51               
2006      1         3         0.03                16.1                
2006      1         9         0.02                16.61               
2006      1         16        0.03                17.07               
2006      1         23        0.02                13.93               
2006      1         30        0.02                11.71               
2006      2         6         0.03                24.3                
2006      2         13        0.28                13.44               
2006      2         20        0.02                12.1                
2006      2         28        0.03                16.77               
