Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         17        0.23                4.05                
2005      1         18        0.23                4.22                
2005      2         7         0.18                35.42               
2005      3         7         0.24                8.28                
2005      4         11        0.17                5.27                
2005      5         9         0.1                 5.0                 
2005      6         13        0.11                23.58               
2005      7         12        0.08                14.16               
2005      8         1         0.15                42.84               
2005      9         13        0.3                 411.29              
2005      10        11        0.23                243.43              
2005      11        7         0.23                10.59               
2005      12        13        0.18                6.09                
2006      1         17        0.15                2.0                 
2006      2         6         0.14                5.43                
2006      3         14        0.04                2.3                 
2006      4         10        0.05                2.28                
2006      5         16        0.05                18.03               
2006      6         19        0.04                10.94               
2006      7         18        0.06                44.53               
2006      8         14        0.05                19.42               
2006      9         18        0.21                9.23                
2006      10        16        0.17                2.52                
2006      11        13        0.02                1.95                
2006      12        11        0.09                1.6                 
2007      1         17        0.08                1.54                
2007      2         13        0.05                1.51                
2007      3         26        0.05                1.64                
2007      5         7         0.04                2.05                
2007      5         29        0.02                3.94                
2007      6         18        0.02                10.66               
2007      7         16        0.17                102.95              
2007      8         21        0.18                96.09               
2007      9         18        0.27                147.97              
2007      10        16        0.26                39.03               
2007      11        27        0.47                6.82                
2007      12        17        0.27                1.89                
2008      1         22        0.21                1.8                 
2008      2         26        0.13                1.32                
2008      3         25        0.1                 1.66                
2008      4         21        0.06                1.68                
2008      5         28        0.09                4.47                
2008      6         23        0.1                 6.82                
2008      7         22        0.27                113.61              
2008      8         26        0.18                119.59              
2008      9         23        0.38                167.47              
2008      10        22        0.26                7.39                
2008      11        19        0.23                2.47                
2008      12        16        0.28                52.97               
2009      1         21        0.13                1.64                
2009      2         17        0.09                1.69                
2009      3         19        0.07                1.53                
2009      4         20        0.06                1.57                
2009      5         19        0.06                10.26               
2009      6         23        0.07                16.7                
2009      7         22        0.048               44.87               
2009      8         24        0.284               367.33              
2009      9         24        0.146               118.03              
2009      10        21        0.169               59.65               
2009      11        16        0.064               4.53                
2009      12        14        0.269               5.11                
2010      1         18        0.084               2.13                
2010      3         23        0.013               1.69                
2010      4         21        0.119               4.09                
2010      5         19        0.074               13.39               
2010      6         23        0.144               43.44               
2010      7         20        0.26                93.64               
2010      8         30        0.22                490.99              
2010      9         20        0.31                150.07              
2010      10        28        0.25                29.62               
2010      11        24        0.26                13.09               
2010      12        22        0.61                87.36               
2011      1         11        0.28                5.64                
2011      2         16        0.25                6.92                
2011      3         22        0.35                7.63                
2011      4         19        0.21                23.77               
2011      5         17        0.19                65.79               
2011      6         23        0.36                1056.57             
2011      7         20        0.33                340.08              
2011      8         16        0.26                126.6               
2011      9         21        0.3                 58.66               
2011      10        25        0.26                36.83               
2011      11        22        0.25                13.39               
2011      12        19        0.24                3.5                 
2012      1         24        0.21                1.81                
2012      2         13        0.1                 2.1                 
2012      3         21        0.11                2.06                
2012      4         23        0.097               2.34                
2012      5         16        0.11                14.66               
2012      6         26        0.19                188.92              
2012      7         18        0.17                101.71              
2012      8         21        0.2                 207.47              
2012      9         26        0.24                87.46               
2012      10        29        0.19                36.71               
2012      11        20        0.2                 11.68               
2012      12        19        0.2                 13.01               
2013      1         22        0.11                1.61                
2013      2         25        0.1                 1.8                 
2013      3         20        0.071               1.7                 
2013      4         23        0.047               2.38                
2013      5         21        0.077               13.95               
2013      6         20        0.068               16.7                
2013      7         24        0.11                73.94               
2013      8         20        0.33                1179.53             
2013      9         23        0.23                326.34              
2013      10        21        0.17                45.98               
2013      11        18        0.23                38.44               
2013      12        17        0.19                13.81               
2014      1         21        0.32                3.46                
2014      2         18        0.1                 1.25                
2014      3         20        0.063               1.62                
2014      4         16        0.097               4.48                
2014      5         28        0.16                18.18               
2014      6         24        0.081               41.07               
2014      7         21        0.14                207.65              
2014      8         25        0.32                247.6               
2014      9         24        0.17                32.66               
2014      10        20        0.15                16.56               
2014      11        25        0.16                5.92                
2014      12        15        0.17                2.64                
2015      2         25        0.099               1.92                
2015      3         24        0.063               2.22                
2015      3         24        0.055               2.22                
2015      5         27        0.28                16.26               
2015      6         23        0.094               30.93               
2015      7         28        0.19                131.64              
2015      8         25        0.12                48.57               
2015      9         23        0.25                72.85               
2015      10        27        0.15                3.76                
2015      11        24        0.086               1.88                
2015      12        14        0.091               2.5                 
2016      1         27        0.077               2.69                
2016      2         23        0.067               1.72                
2016      3         21        0.034               1.57                
2016      4         27        0.037               2.03                
2016      5         24        0.036               29.95               
2016      6         28        0.073               109.49              
2016      7         27        0.23                832.62              
2016      8         23        0.3                 702.27              
2016      9         27        0.19                117.47              
2016      10        25        0.14                244.26              
2016      11        22        0.21                19.31               
2016      12        12        0.19                10.42               
2017      1         23        0.19                18.15               
2017      2         21        0.16                7.3                 
2017      3         22        0.11                3.67                
2017      4         26        0.25                98.27               
2017      5         22        0.076               15.4                
2017      6         27        0.29                54.71               
2017      7         18        0.28                272.88              
2017      8         30        0.21                180.08              
2017      9         27        0.27                305.99              
2017      10        24        0.2                 46.7                
2017      11        27        0.17                6.99                
2017      12        18        0.2                 4.57                
2018      1         22        0.19                1.73                
2018      2         26        0.078               1.34                
2018      3         19        0.15                2.15                
2018      4         23        0.057               4.29                
2018      5         28        0.033               23.8                
2018      6         28        0.073               63.99               
2018      7         23        0.13                259.69              
2018      8         29        0.15                113.8               
2018      9         11        0.16                70.4                
2018      10        23        0.18                49.07               
2018      11        21        0.18                4.46                
2018      12        19        0.17                11.54               
