Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         6         0.01                26.04               
2005      2         17        0.02                10.89               
2005      3         21        0.01                6.17                
2005      4         26        0.01                3.57                
2005      5         24        0.01                4.15                
2005      6         21        0.01                9.63                
2005      7         25        0.008               7.94                
2005      8         22        0.01                8.86                
2005      9         13        0.01                11.8                
2005      10        19        0.006               6.38                
2005      11        22        0.01                26.61               
2005      12        20        0.02                25.16               
2006      1         23        0.01                32.07               
2006      2         21        0.007               34.53               
2006      3         22        0.008               29.49               
2006      4         27        0.01                1.37                
2006      5         23        0.01                3.48                
2006      6         19        0.005               3.15                
2006      7         26        0.01                7.8                 
2006      8         22        0.01                2.79                
2006      9         13        0.009               6.18                
2006      10        25        0.01                0.37                
2006      11        28        0.006               1.98                
2006      12        18        0.008               1.93                
2007      1         22        0.02                4.17                
2007      2         21        0.01                2.0                 
2007      3         14        0.03                3.19                
2007      4         24        0.008               3.27                
2007      5         28        0.02                1.93                
2007      6         27        0.04                0.81                
2007      7         26        0.01                4.32                
2007      8         27        0.01                2.7                 
2007      9         25        0.01                1.66                
2007      10        22        0.009               1.1                 
2007      11        19        0.01                2.04                
2007      12        19        0.01                0.87                
2008      1         17        0.1                 0.03                
2008      2         18        0.09                0.1                 
2008      3         13        0.15                0.03                
2008      4         16        0.03                0.69                
2008      5         14        0.02                0.29                
2008      6         18        0.18                0.36                
2008      7         17        0.06                1.79                
2008      8         13        0.05                11.0                
2008      9         11        0.03                2.48                
2008      10        9         0.05                1.64                
2008      11        18        0.2                 0.78                
2008      12        11        0.01                16.6                
2009      1         13        0.04                0.5                 
2009      2         10        0.02                0.36                
2009      3         12        0.02                1.35                
2009      4         7         0.07                0.28                
2009      5         12        0.02                0.18                
2009      6         17        0.03                0.19                
2009      7         14        0.024               0.33                
2009      8         19        0.014               1.41                
2009      9         24        0.005               5.92                
2009      10        19        0.005               2.57                
2009      11        16        0.014               0.37                
2009      12        10        0.019               2.43                
2010      1         19        0.005               17.31               
2010      2         11        0.04                0.46                
2010      3         11        0.025               0.56                
2010      4         14        0.005               1.38                
2010      5         13        0.028               0.39                
2010      6         8         0.025               0.43                
2010      7         12        0.014               5.45                
2010      8         11        0.018               11.6                
2010      9         15        0.035               51.59               
2010      10        13        0.017               13.61               
2010      11        15        0.068               539.54              
2010      12        15        0.084               15.83               
2011      1         13        0.11                869.24              
2011      2         8         0.061               137.31              
2011      3         15        0.041               43.62               
2011      4         12        0.005               15.97               
2011      5         12        0.039               22.69               
2011      6         9         0.041               24.87               
2011      7         26        0.071               159.09              
2011      8         11        0.04                140.64              
2011      9         14        0.03                88.27               
2011      10        11        0.032               89.02               
2011      11        9         0.06                61.3                
2011      12        13        0.036               47.61               
2012      1         17        0.026               24.73               
2012      2         8         0.027               25.39               
2012      3         22        0.027               17.75               
2012      4         18        0.02                24.42               
2012      5         29        0.022               24.54               
2012      6         27        0.027               184.88              
2012      7         18        0.034               108.78              
2012      8         15        0.025               228.38              
2012      9         18        0.024               175.24              
2012      10        16        0.018               73.2                
2012      11        22        0.021               7.41                
2012      12        12        0.017               7.74                
2013      1         15        0.018               14.87               
2013      2         14        0.023               17.2                
2013      3         18        0.015               44.86               
2013      4         17        0.015               17.63               
2013      5         8         0.012               32.74               
2013      6         13        0.012               12.88               
2013      7         29        0.019               20.25               
2013      8         20        0.015               27.44               
2013      9         10        0.014               23.65               
2013      10        21        0.009               22.61               
2013      11        12        0.043               18.08               
2013      12        17        0.015               16.16               
2014      1         16        0.015               32.22               
2014      2         18        0.015               30.91               
2014      3         18        0.022               33.78               
2014      4         9         0.026               16.64               
2014      5         14        0.024               9.35                
2014      6         12        0.015               26.07               
2014      7         15        0.017               13.39               
2014      8         19        0.012               9.73                
2014      9         11        0.008               8.31                
2014      10        16        0.015               8.17                
2014      12        11        0.017               14.96               
2015      2         18        0.019               25.92               
2015      3         24        0.008               27.69               
2015      4         22        0.013               11.94               
2015      5         19        0.008               10.02               
2015      6         15        0.005               13.45               
2015      7         14        0.01                9.36                
2015      8         18        0.01                8.77                
2015      9         15        0.01                9.51                
2015      10        19        0.015               4.86                
2015      11        23        0.022               0.8                 
2015      12        8         0.052               0.07                
2016      1         12        0.017               29.13               
2016      2         11        0.54                24.59               
2016      3         16        0.019               20.83               
2016      4         21        0.063               0.09                
2016      5         25        0.056               2.36                
2016      6         16        0.045               3.94                
2016      7         20        0.021               11.62               
2016      8         17        0.014               14.28               
2016      9         23        0.035               65.12               
2016      10        19        0.025               336.87              
2016      11        10        0.017               13.81               
2016      12        13        0.014               16.87               
2017      1         19        0.028               8.25                
2017      2         8         0.019               18.03               
2017      3         14        0.016               14.83               
2017      4         20        0.016               9.18                
2017      5         17        0.009               10.77               
2017      6         14        0.011               20.61               
2017      7         12        0.005               7.56                
2017      8         17        0.021               9.22                
2017      9         19        0.038               22.71               
2017      10        11        0.01                22.06               
2017      11        22        0.016               36.22               
2017      12        4         0.014               18.01               
2018      1         17        0.012               26.82               
2018      2         8         0.013               79.71               
2018      3         15        0.017               6.43                
2018      4         16        0.015               5.49                
2018      5         16        0.086               9.21                
2018      6         14        0.01                7.22                
2018      7         17        0.009               14.26               
2018      8         20        0.011               24.66               
2018      9         11        0.009               22.78               
2018      10        10        0.012               8.75                
2018      11        21        0.016               12.48               
2018      12        12        0.014               21.02               
