Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         6         0.03                0.0                 
2005      2         7         0.15                316.27              
2005      3         3         0.18                20.38               
2005      4         4         0.14                0.0                 
2005      5         2         0.07                0.0                 
2005      6         1         0.14                0.0                 
2005      7         6         0.07                6.81                
2005      8         1         0.04                3.62                
2005      9         5         0.02                0.0                 
2005      10        4         0.03                0.0                 
2005      11        3         0.03                0.0                 
2005      12        1         0.02                0.0                 
2006      1         5         0.04                0.0                 
2006      2         1         0.02                1.08                
2006      3         2         0.04                0.0                 
2006      4         3         0.04                0.0                 
2006      5         2         0.02                0.0                 
2006      6         5         0.01                0.0                 
2006      7         3         0.01                0.0                 
2006      8         3         0.01                7.71                
2006      9         5         0.008               5.77                
2006      10        3         0.01                0.0                 
2006      11        2         0.01                0.0                 
2006      12        5         0.01                0.0                 
2007      1         3         0.02                0.0                 
2007      2         5         0.05                0.0                 
2007      3         6         0.04                0.0                 
2007      4         3         0.03                0.0                 
2007      5         1         0.01                0.0                 
2007      6         6         0.01                0.0                 
2007      7         2         0.01                0.0                 
2007      8         7         nan                 0.0                 
2007      9         4         0.03                2.44                
2007      10        4         0.01                0.0                 
2007      11        7         0.02                0.0                 
2007      12        4         0.02                0.0                 
2008      1         3         0.07                0.0                 
2008      2         5         0.03                0.0                 
2008      3         4         0.05                0.0                 
2008      4         2         0.11                0.0                 
2008      5         5         0.07                0.0                 
2008      6         5         0.03                0.0                 
2008      7         2         0.02                0.0                 
2008      8         5         0.03                3.07                
2008      9         2         0.02                2.46                
2008      10        2         0.02                0.0                 
2008      11        5         0.04                0.0                 
2008      12        2         0.03                0.0                 
2009      1         6         0.03                0.0                 
2009      2         4         0.03                0.0                 
2009      3         3         0.12                0.0                 
2009      4         1         0.07                0.0                 
2009      5         5         0.08                0.0                 
2009      6         2         0.07                0.0                 
2009      7         7         0.039               0.0                 
2009      8         5         0.014               0.0                 
2009      9         3         0.026               0.0                 
2009      10        5         0.036               0.0                 
2009      11        12        0.026               0.0                 
2009      12        1         0.03                29.74               
2010      1         12        0.024               0.0                 
2010      2         2         0.027               0.0                 
2010      3         3         0.054               0.0                 
2010      4         7         0.02                0.0                 
2010      5         4         0.08                0.0                 
2010      6         2         0.057               0.0                 
2010      7         6         0.15                0.0                 
2010      8         3         0.065               3.74                
2010      9         7         0.03                41.23               
2010      10        4         0.033               0.0                 
2010      11        9         2.5                 1.49                
2010      12        7         0.74                202.06              
2011      1         11        0.59                24.39               
2011      2         2         0.46                0.0                 
2011      3         2         0.19                0.0                 
2011      4         5         0.11                0.0                 
2011      5         3         0.085               28.17               
2011      6         2         0.076               16.52               
2011      7         4         0.068               0.0                 
2011      8         2         0.25                139.47              
2011      9         6         0.19                8.54                
2011      10        6         0.078               46.25               
2011      11        2         0.062               6.61                
2011      12        7         1.7                 0.0                 
2012      2         2         0.085               0.03                
2012      3         5         0.056               14.25               
2012      4         11        0.061               0.0                 
2012      5         8         0.041               0.25                
2012      6         12        0.38                92.46               
2012      7         10        2.6                 105.44              
2012      8         6         0.33                223.02              
2012      9         5         1.1                 155.61              
2012      10        8         0.35                62.94               
2012      11        7         0.089               0.0                 
2012      12        3         0.073               0.0                 
2013      1         8         0.061               0.0                 
2013      2         4         0.053               0.0                 
2013      3         5         0.036               0.0                 
2013      4         2         0.06                0.0                 
2013      5         1         0.039               0.0                 
2013      6         3         0.052               48.49               
2013      7         2         0.033               0.0                 
2013      8         5         0.034               14.66               
2013      9         2         0.029               0.0                 
2013      10        1         0.044               0.0                 
2013      11        6         0.066               0.0                 
2013      12        10        0.066               182.63              
2014      1         13        0.052               0.0                 
2014      2         11        0.049               0.0                 
2014      3         11        0.056               0.0                 
2014      4         2         0.051               0.0                 
2014      5         7         0.043               0.0                 
2014      6         4         0.023               0.0                 
2014      7         3         0.034               0.0                 
2014      8         6         1.5                 10.0                
2014      9         8         0.24                0.0                 
2014      10        8         0.084               0.0                 
2014      11        5         0.068               0.0                 
2014      12        2         0.044               0.0                 
2015      1         12        0.041               5.56                
2015      2         3         0.047               0.0                 
2015      3         5         0.049               0.0                 
2015      4         7         0.049               0.0                 
2015      5         4         0.058               0.0                 
2015      6         9         0.034               0.0                 
2015      7         1         0.024               0.0                 
2015      8         11        0.026               4.92                
2015      9         2         0.72                54.39               
2015      10        7         0.77                0.0                 
2015      11        4         0.13                0.0                 
2015      12        3         0.1                 0.0                 
2016      1         5         0.073               0.0                 
2016      2         4         0.072               0.0                 
2016      3         7         0.022               0.0                 
2016      4         12        0.06                0.0                 
2016      5         10        0.08                4.04                
2016      6         1         0.037               0.0                 
2016      7         7         0.074               137.84              
2016      8         4         0.23                63.43               
2016      9         1         0.043               38.89               
2016      10        12        0.084               201.14              
2016      11        8         0.093               0.0                 
2016      12        5         0.097               0.0                 
2017      1         10        0.11                0.0                 
2017      2         2         0.057               0.0                 
2017      3         2         0.046               0.0                 
2017      4         12        0.24                129.55              
2017      5         3         0.005               48.54               
2017      6         7         0.043               0.0                 
2017      7         10        0.023               0.02                
2017      8         1         0.02                28.39               
2017      9         5         0.046               0.0                 
2017      10        5         0.026               0.0                 
2017      11        8         0.035               93.05               
2017      12        5         0.035               23.5                
2018      1         10        0.046               0.0                 
2018      2         6         0.05                0.0                 
2018      3         8         0.031               0.0                 
2018      4         10        0.025               0.0                 
2018      5         2         0.04                0.0                 
2018      6         6         0.027               0.0                 
2018      7         5         0.029               13.79               
2018      8         8         0.021               0.0                 
2018      9         4         0.018               0.0                 
2018      10        8         0.024               0.0                 
2018      11        7         0.028               0.02                
2018      12        10        0.052               0.2                 
