Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         5         0.02                1.44                
2005      3         3         0.05                2.51                
2005      4         5         0.03                1.83                
2005      5         4         0.02                2.53                
2005      6         2         0.01                2.63                
2005      7         5         0.01                2.96                
2005      8         2         0.02                2.56                
2005      8         3         0.03                2.63                
2005      9         6         0.02                2.46                
2005      10        4         0.02                2.23                
2005      11        3         0.02                2.3                 
2005      12        5         0.01                2.47                
2006      1         4         0.03                1.19                
2006      2         1         0.02                1.99                
2006      3         1         0.02                2.14                
2006      4         5         0.03                2.18                
2006      5         2         0.01                3.12                
2006      6         5         0.005               2.81                
2006      7         4         0.009               2.9                 
2006      8         3         0.005               3.06                
2006      9         5         0.007               3.27                
2006      10        3         0.009               3.03                
2006      11        2         0.007               2.84                
2006      12        5         0.01                1.09                
2007      1         4         0.02                1.63                
2007      2         5         0.04                1.57                
2007      3         6         0.02                1.7                 
2007      4         3         0.01                2.34                
2007      5         2         0.005               4.51                
2007      6         6         0.01                2.58                
2007      7         3         0.03                2.53                
2007      8         7         0.01                2.13                
2007      9         4         0.04                1.92                
2007      10        4         0.009               1.72                
2007      11        7         0.02                4.57                
2007      12        4         0.12                3.78                
2008      1         3         0.03                0.9                 
2008      2         5         0.02                1.24                
2008      3         4         0.02                0.9                 
2008      4         2         0.02                1.92                
2008      5         5         0.02                2.76                
2008      6         3         0.01                1.78                
2008      9         3         0.03                2.06                
2008      10        2         0.01                1.02                
2008      11        6         0.01                1.55                
2008      12        3         0.02                0.81                
2009      1         6         0.02                0.51                
2009      2         4         0.01                0.37                
2009      3         2         0.03                0.47                
2009      4         6         0.01                1.88                
2009      5         5         0.01                2.26                
2009      6         2         0.01                2.48                
2009      7         1         0.005               2.05                
2009      8         6         0.005               3.24                
2009      9         2         0.008               2.98                
2009      10        6         0.009               2.68                
2009      11        12        0.018               0.71                
2009      12        1         0.022               6.33                
2010      1         12        0.005               0.04                
2010      2         2         0.011               0.54                
2010      3         4         0.005               0.56                
2010      4         7         0.018               2.27                
2010      5         3         0.02                1.81                
2010      6         2         0.019               2.36                
2010      7         6         0.023               2.2                 
2010      8         4         0.037               2.84                
2010      9         7         0.031               7.79                
2010      10        5         0.015               2.26                
2010      11        10        0.028               2.69                
2010      12        6         0.25                100.34              
2011      1         11        0.13                3.63                
2011      2         2         0.35                6.83                
2011      3         3         0.084               7.8                 
2011      4         4         0.036               2.37                
2011      5         4         0.032               2.71                
2011      6         2         0.028               1.88                
2011      7         5         0.021               1.97                
2011      8         2         0.02                2.05                
2011      9         7         0.021               1.84                
2011      10        6         0.021               3.4                 
2011      11        7         0.028               2.96                
2011      12        7         0.34                4.22                
2012      1         10        0.13                1.26                
2012      2         2         0.079               1.05                
2012      3         6         0.071               2.24                
2012      4         12        0.039               1.58                
2012      5         9         0.038               5.55                
2012      6         12        0.18                15.69               
2012      7         10        0.26                4.68                
2012      8         7         0.061               5.47                
2012      9         10        0.25                3.36                
2012      10        8         0.093               3.05                
2012      11        8         0.042               2.72                
2012      12        4         0.052               2.06                
2013      1         14        0.045               0.53                
2013      2         5         0.033               1.04                
2013      3         13        0.031               0.77                
2013      4         4         0.026               1.3                 
2013      5         6         0.025               1.37                
2013      6         4         0.05                3.04                
2013      7         1         0.049               1.74                
2013      8         8         0.034               5.0                 
2013      9         3         0.03                2.11                
2013      10        7         0.039               3.58                
2013      11        12        0.021               2.23                
2013      12        10        0.032               2.76                
2014      1         14        0.02                0.66                
2014      2         11        0.037               0.53                
2014      3         11        0.027               1.02                
2014      4         2         0.042               1.32                
2014      5         6         0.029               2.0                 
2014      6         2         0.033               1.86                
2014      7         3         0.031               1.73                
2014      8         5         0.023               1.68                
2014      9         4         0.02                1.67                
2014      10        8         0.047               1.4                 
2014      11        10        0.022               0.82                
2014      12        3         0.018               0.85                
2015      2         10        0.016               0.58                
2015      3         5         0.028               1.14                
2015      4         1         0.028               0.78                
2015      5         4         0.033               1.41                
2015      6         4         0.016               1.55                
2015      7         1         0.011               1.34                
2015      8         12        0.006               1.59                
2015      9         1         0.012               1.44                
2015      9         1         0.012               1.44                
2015      10        8         0.041               0.87                
2015      11        4         0.015               1.18                
2015      12        2         0.022               0.57                
2016      1         4         0.023               0.4                 
2016      2         3         0.016               1.19                
2016      3         3         0.017               1.27                
2016      4         11        0.023               1.05                
2016      5         11        0.018               1.28                
2016      6         2         0.012               1.12                
2016      7         11        0.038               6.19                
2016      8         3         0.016               2.32                
2016      9         7         0.016               1.52                
2016      10        12        0.073               1.89                
2016      11        7         0.062               0.86                
2016      12        1         0.057               0.86                
2016      12        1         0.09                0.86                
2017      1         10        0.067               0.54                
2017      2         7         0.06                2.68                
2017      3         2         0.053               0.52                
2017      4         12        0.42                84.59               
2017      5         8         0.23                1.67                
2017      6         6         0.15                1.39                
2017      7         6         0.13                1.53                
2017      8         2         0.09                1.24                
2017      9         6         0.046               1.66                
2017      10        5         0.014               1.13                
2017      11        9         0.026               0.71                
2017      12        6         0.048               1.2                 
2018      1         9         0.031               0.32                
2018      2         5         0.034               0.53                
2018      3         6         0.035               0.43                
2018      4         9         0.033               0.67                
2018      5         2         0.046               0.86                
2018      6         6         0.033               1.43                
2018      7         5         0.025               1.31                
2018      8         8         0.018               1.26                
2018      9         4         0.018               1.37                
2018      10        8         0.026               0.48                
2018      11        7         0.027               1.37                
2018      12        10        0.038               0.39                
