Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         12        0.01                607.53              
2005      2         9         0.01                840.46              
2005      3         9         0.01                617.67              
2005      4         6         0.01                424.86              
2005      5         4         0.007               367.72              
2005      6         8         0.005               339.29              
2005      7         6         0.01                867.61              
2005      8         3         0.02                1487.36             
2005      9         7         0.02                1750.03             
2005      10        5         0.02                3339.64             
2005      11        9         0.01                1678.45             
2005      12        7         0.03                5236.15             
2006      1         12        0.01                371.88              
2006      2         9         0.01                409.94              
2006      3         9         0.006               129.75              
2006      4         6         0.02                220.55              
2006      5         4         0.006               266.85              
2006      6         8         0.01                3156.11             
2006      7         6         0.01                882.08              
2006      8         10        0.005               1203.3              
2006      9         7         0.007               1059.6              
2006      10        5         0.005               774.41              
2006      11        16        0.006               642.56              
2006      12        7         0.005               266.86              
2007      1         11        0.007               178.37              
2007      2         8         0.01                79.47               
2007      3         19        0.04                237.51              
2007      4         16        0.01                189.88              
2007      5         14        0.02                249.68              
2007      6         18        0.01                674.36                          
2007      7         26        0.05                3588.83             
2007      9         10        0.01                1000.67             
2007      10        15        0.01                944.88              
2007      11        12        0.02                1250.0              
2007      12        10        0.02                1157.0              
2008      1         17        0.02                240.48              
2008      2         20        0.05                432.94              
2008      3         13        0.02                257.12              
2008      4         14        0.01                239.4               
2008      5         21        0.007               243.57              
2008      6         10        0.009               278.28              
2008      7         14        0.006               416.13              
2008      8         27        0.01                799.52              
2008      9         18        0.01                1314.01             
2008      10        14        0.01                687.05              
2008      11        17        0.009               262.95              
2008      12        18        0.02                3211.72             
2009      1         12        0.01                579.65              
2009      2         19        0.01                220.21              
2009      3         19        0.01                648.72              
2009      4         20        0.007               293.58              
2009      5         21        0.02                190.41              
2009      6         11        0.01                267.95              
2009      7         30        0.008               519.75              
2009      8         27        0.006               499.48              
2009      9         24        0.005               469.74              
2009      10        22        0.005               1661.93             
2009      11        17        0.008               453.82              
2009      12        17        0.007               315.0               
2010      1         18        0.013               210.03              
2010      2         18        0.056               14526.37            
2010      3         18        0.018               564.47              
2010      4         14        0.005               287.8               
2010      5         13        0.008               298.54              
2010      6         23        0.007               966.99              
2010      7         22        0.016               935.19              
2010      8         19        0.028               3022.51             
2010      9         23        0.016               1212.82             
2010      10        18        0.06                4356.21             
2010      11        15        0.024               2128.53             
2010      12        9         0.059               3023.59             
2011      1         17        0.08                901.06              
2011      2         14        0.049               3408.58             
2011      3         28        0.1                 5833.06             
2011      4         19        0.021               1085.7              
2011      5         16        0.019               821.62              
2011      6         16        0.097               8045.89             
2011      7         28        0.041               9260.08             
2011      8         15        0.038               7444.8              
2011      9         12        0.015               2230.16             
2011      10        17        0.067               8504.94             
2011      11        14        0.012               2244.74             
2011      12        19        0.012               1368.55             
2012      1         16        0.008               608.31              
2012      2         20        0.028               1631.43             
2012      3         22        0.059               6332.22             
2012      4         16        0.016               1737.64             
2012      5         21        0.018               1809.87             
2012      6         18        0.036               6258.38             
2012      7         16        0.013               3765.06             
2012      8         20        0.04                6193.54             
2012      9         17        0.01                2832.49             
2012      10        15        0.033               5548.75             
2012      11        19        0.015               1764.9              
2012      12        17        0.038               992.93              
2013      1         17        0.013               371.65              
2013      2         18        0.011               465.45              
2013      3         26        0.014               602.22              
2013      4         15        0.012               482.94              
2013      5         27        0.006               584.31              
2013      6         17        0.067               41969.77            
2013      7         15        0.024               3205.64             
2013      8         19        0.012               2499.07             
2013      9         16        0.015               2021.51             
2013      10        14        0.018               2754.39             
2013      11        18        0.016               3136.81             
2013      12        16        0.013               1222.88             
2014      1         20        0.01                735.59              
2014      2         17        0.017               406.7               
2014      3         17        0.011               412.16              
2014      4         7         0.044               2986.33             
2014      5         12        0.015               1172.47                        
2014      7         14        0.02                2377.64             
2014      7         15        0.02                2269.14             
2014      8         11        0.015               1896.1              
2014      9         8         0.036               7255.09             
2014      10        13        0.011               2244.74             
2014      11        10        0.013               1595.25             
2014      12        8         0.34                29240.27            
2015      1         12        0.015               1921.67             
2015      1         12        0.005               1921.67             
2015      1         12        0.017               1921.67             
2015      2         9         0.01                1612.62             
2015      3         16        0.01                1127.84             
2015      4         20        0.04                2812.8              
2015      5         25        0.058               2213.45             
2015      6         15        0.014               1562.64             
2015      7         20        0.071               17373.91            
2015      8         17        0.019               4182.76             
2015      9         17        0.026               5658.22             
2015      10        19        0.014               2567.53             
2015      11        16        0.058               9152.88             
