Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         6         0.18                42.05               
2005      1         31        0.17                5.06                
2005      2         28        0.13                43.39               
2005      4         5         0.11                5.92                
2005      5         4         0.08                5.58                
2005      6         8         0.06                14.15               
2005      7         4         0.06                25.18               
2005      8         2         0.06                26.06               
2005      9         6         0.11                40.16               
2005      10        4         0.12                41.46               
2005      11        1         0.16                56.03               
2005      11        30        0.17                14.16               
2006      1         3         0.23                2.08                
2006      2         8         0.24                0.18                
2006      3         6         0.46                0.09                
2006      4         3         0.27                0.22                
2006      5         1         0.49                4.65                
2006      6         5         0.06                11.52               
2006      7         3         0.04                15.79               
2006      8         7         0.04                20.85               
2006      9         4         0.07                13.48               
2006      10        9         0.12                9.66                
2006      10        31        0.18                2.55                
2006      12        5         0.2                 0.55                
2007      1         16        0.53                0.0                 
2007      2         5         0.28                0.12                
2007      3         7         0.51                0.0                 
2007      4         4         0.39                0.1                 
2007      5         1         0.4                 0.3                 
2007      6         4         0.48                2.16                
2007      7         2         0.2                 16.05               
2007      8         7         0.15                116.26              
2007      9         3         0.16                39.34               
2007      10        1         0.28                86.71               
2007      11        13        0.18                184.95              
2007      12        4         0.56                14.81               
2008      1         2         0.27                41.3                
2008      2         4         0.27                0.57                
2008      3         3         0.26                0.71                
2008      4         1         0.42                0.25                
2008      5         5         0.35                0.54                
2008      6         3         0.16                5.05                
2008      7         8         0.18                32.14               
2008      8         4         0.18                70.16               
2008      9         2         0.27                115.66              
2008      10        1         0.16                36.4                
2008      11        4         0.18                10.22               
2008      12        1         0.27                4.55                
2009      2         2         0.45                0.11                
2009      3         2         0.56                0.0                 
2009      5         11        0.86                4.37                
2009      6         1         0.23                9.65                
2009      7         6         0.213               49.0                
2009      8         5         0.152               68.16               
2009      9         1         0.369               363.03              
2009      10        6         0.243               346.25              
2009      11        4         0.306               38.06               
2009      12        1         0.314               8.56                
2010      1         4         0.281               2.25                
2010      2         2         0.401               0.18                
2010      3         1         0.462               0.17                
2010      4         6         0.54                0.25                
2010      5         3         0.261               6.71                
2010      6         1         0.08                12.47               
2010      7         5         0.087               27.46               
2010      8         4         0.34                163.84              
2010      9         8         0.46                11930.44            
2010      10        5         0.28                175.09              
2010      11        2         0.41                409.22              
2010      12        2         0.22                149.2               
2011      1         4         0.26                150.25              
2011      2         7         0.43                408.77              
2011      3         8         0.21                196.29              
2011      4         4         0.17                62.09               
2011      5         2         0.13                52.97               
2011      6         7         0.1                 105.86              
2011      7         5         0.18                311.62              
2011      8         1         0.17                364.04              
2011      9         6         0.15                205.3               
2011      10        3         0.16                109.45              
2011      11        8         0.17                75.34               
2011      12        5         0.22                22.67               
2012      1         5         0.32                2.86                
2012      2         6         0.45                0.2                 
2012      3         5         0.56                0.29                
2012      4         2         0.5                 0.13                
2012      5         7         0.34                9.94                
2012      6         4         0.098               22.47               
2012      7         4         0.15                59.22               
2012      8         6         0.067               97.44               
2012      9         3         0.24                317.21              
2012      10        2         0.24                224.12              
2012      11        6         0.13                30.47               
2012      12        3         0.12                7.61                
2013      1         2         0.17                1.32                
2013      2         5         0.31                0.16                
2013      3         5         0.52                0.03                
2013      4         2         0.56                0.19                
2013      5         6         0.37                0.24                
2013      6         4         0.28                0.73                
2013      7         1         0.12                18.68               
2013      8         5         0.21                102.09              
2013      9         2         0.2                 188.06              
2013      10        1         0.29                225.97              
2013      11        5         0.18                56.6                
2013      12        2         0.12                26.13               
2014      1         6         0.3                 6.19                
2014      2         4         0.49                0.08                
2014      3         4         0.53                0.05                
2014      4         1         0.9                 0.21                
2014      5         5         0.87                0.81                
2014      6         2         0.12                12.59               
2014      7         2         0.22                166.96              
2014      7         2         0.22                166.96              
2014      8         5         0.26                718.2               
2014      9         1         0.11                56.91               
2014      11        4         0.12                9.27                
2014      12        1         0.19                1.84                
2015      2         2         0.51                0.34                
2015      3         2         0.4                 0.06                
2015      4         7         0.66                0.37                
2015      5         4         0.62                0.68                
2015      6         1         0.15                17.22               
2015      7         6         0.13                17.08               
2015      8         3         0.04                33.21               
2015      9         2         0.11                24.28               
2015      10        6         0.12                17.81               
2015      11        3         0.26                5.64                
2015      12        1         0.49                1.35                
2016      1         4         0.85                0.02                
2016      2         3         1.2                 0.0                 
2016      4         4         0.57                0.04                
2016      5         2         0.77                0.66                
2016      6         7         0.44                12.04               
2016      7         5         0.22                126.39              
2016      8         2         0.28                341.96              
2016      9         5         0.21                151.43              
2016      10        4         0.57                3095.61             
2016      11        1         0.49                449.52              
2016      12        1         0.32                51.79               
2017      1         9         0.28                6.49                
2017      2         6         0.32                3.12                
2017      3         6         0.42                0.81                
2017      4         4         0.47                0.95                
2017      5         1         0.18                25.8                
2017      6         5         0.051               35.07               
2017      7         3         0.058               32.55               
2017      8         2         0.094               58.07               
2017      9         4         0.13                224.12              
2017      10        3         0.27                233.34              
2017      11        7         0.17                26.06               
2017      12        5         0.28                16.62               
2018      1         15        0.48                3.31                
2018      2         5         0.81                0.19                
2018      3         5         0.57                0.08                
2018      4         5         1.0                 0.22                
2018      5         1         0.88                0.27                
2018      6         4         0.12                20.95               
2018      7         2         0.081               39.03               
2018      8         6         0.2                 342.36              
2018      9         3         0.2                 84.69               
2018      10        8         0.14                22.11               
2018      11        7         0.16                11.92               
2018      12        3         0.2                 7.52                
