Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         4         0.04                2.22                
2005      2         2         0.03                1.54                
2005      3         7         0.04                1.76                
2005      4         11        0.04                1.85                
2005      5         2         0.03                1.62                
2005      6         6         0.04                1.76                
2005      7         6         0.03                2.25                
2005      8         9         0.03                12.46               
2005      9         12        0.02                33.18               
2005      10        3         0.02                15.2                
2005      11        8         0.03                9.91                
2005      12        7         0.03                1.68                
2006      1         11        0.04                1.54                
2006      2         7         0.04                1.48                
2006      3         9         0.05                1.5                 
2006      4         10        0.04                1.54                
2006      5         8         0.02                1.89                
2006      6         1         0.04                1.81                
2006      7         6         0.03                2.66                
2006      8         1         0.01                12.74               
2006      9         11        0.005               9.44                
2006      10        4         0.01                8.74                
2006      11        8         0.01                1.76                
2006      12        12        0.03                1.36                
2007      1         18        0.05                1.41                
2007      2         8         0.02                1.49                
2007      3         5         0.04                1.37                
2007      4         11        0.05                1.38                
2007      5         7         0.05                1.73                
2007      6         14        0.01                28.41               
2007      7         16        0.01                161.59              
2007      8         21        0.03                152.07              
2007      9         11        0.02                36.74               
2007      10        8         0.02                95.98               
2007      11        7         0.13                978.32              
2007      12        10        0.02                2.47                
2008      1         9         0.04                1.61                
2008      2         19        0.12                1.56                
2008      3         11        0.04                1.6                 
2008      4         8         0.04                1.74                
2008      5         13        0.04                1.82                
2008      6         5         0.03                1.82                
2008      7         22        0.02                13.85               
2008      8         7         0.02                36.13               
2008      9         11        0.01                50.58               
2008      10        14        0.01                12.14               
2008      11        17        0.03                2.0                 
2008      12        8         0.03                1.86                
2009      1         15        0.06                1.28                
2009      2         17        0.05                1.44                
2009      3         18        0.05                1.68                
2009      4         20        0.05                1.77                
2009      5         18        0.04                1.89                
2009      6         11        0.03                9.97                
2009      7         29        0.032               485.19              
2009      8         13        0.013               141.55              
2009      9         10        0.023               296.45              
2009      10        14        0.008               41.13               
2009      11        16        0.034               2.85                
2009      12        10        0.268               2.06                
2010      1         12        0.035               1.6                 
2010      2         9         0.067               1.81                
2010      3         10        0.052               1.54                
2010      4         14        0.066               1.89                
2010      5         13        0.102               1.92                
2010      6         8         0.091               2.03                
2010      7         15        0.043               91.02               
2010      8         18        0.032               357.48              
2010      9         22        0.035               68.94               
2010      10        13        0.022               13.07               
2010      11        9         0.029               5.44                
2010      12        14        0.061               5.65                
2011      1         11        0.048               2.97                
2011      2         9         0.036               2.95                
2011      3         15        0.039               2.95                
2011      4         12        0.005               5.1                 
2011      5         11        0.02                20.71               
2011      6         14        0.019               63.65               
2011      7         13        0.18                334.71              
2011      8         8         0.08                328.95              
2011      9         13        0.037               86.18               
2011      10        11        0.062               93.73               
2011      11        17        0.036               4.93                
2011      12        13        0.04                2.15                
2012      1         9         0.041               1.96                
2012      2         14        0.045               1.8                 
2012      3         14        0.045               1.81                
2012      4         12        0.049               1.87                
2012      5         9         0.053               2.06                
2012      6         13        0.024               7.47                
2012      7         16        0.073               361.77              
2012      8         13        0.035               113.55              
2012      9         10        0.064               409.11              
2012      10        9         0.018               26.56               
2012      11        14        0.03                3.18                
2012      12        10        0.033               1.98                
2013      1         7         0.032               1.82                
2013      2         18        0.049               1.68                
2013      3         13        0.059               1.67                
2013      4         9         0.055               1.84                
2013      5         14        0.059               2.66                
2013      6         12        0.041               3.04                
2013      7         10        0.029               181.47              
2013      8         13        0.075               1112.61             
2013      9         9         0.042               105.17              
2013      10        9         0.025               96.2                
2013      11        12        0.009               76.96               
2013      12        5         0.016               22.92               
2014      1         13        0.034               2.32                
2014      2         11        0.043               1.85                
2014      3         12        0.046               1.65                
2014      4         8         0.057               1.96                
2014      5         13        0.036               4.43                
2014      6         12        0.02                14.17               
2014      7         10        0.05                288.73              
2014      8         12        0.031               144.44              
2014      9         9         0.02                28.0                
2014      10        14        0.03                5.78                
2014      11        11        0.04                2.05                
2014      12        8         0.04                2.02                
2015      1         12        0.042               1.89                
2015      2         11        0.057               1.89                
2015      3         10        0.051               1.76                
2015      4         14        0.051               1.9                 
2015      5         13        0.055               2.23                
2015      6         10        0.041               4.27                
2015      7         14        0.036               34.34               
2015      8         11        0.025               205.88              
2015      9         8         0.067               159.17              
2015      10        14        0.028               4.51                
2015      11        10        0.038               1.77                
2015      12        3         0.052               1.57                
2016      1         11        0.047               1.45                
2016      2         11        0.041               1.41                
2016      3         8         0.05                1.58                
2016      4         12        0.05                1.64                
2016      5         10        0.05                1.49                
2016      6         15        0.037               2.77                
2016      7         14        0.078               595.01              
2016      8         10        0.019               88.26               
2016      9         8         0.023               91.94               
2016      10        12        0.026               122.38              
2016      11        8         0.14                26.77               
2016      12        6         0.02                6.84                
2017      1         17        0.042               1.54                
2017      2         14        0.048               1.19                
2017      3         15        0.052               1.31                
2017      4         11        0.05                1.28                
2017      5         16        0.025               2.8                 
2017      6         14        0.016               10.51               
2017      7         12        0.018               91.24               
2017      8         10        0.054               416.71              
2017      9         21        0.042               242.34              
2017      10        11        0.019               61.21               
2017      11        21        0.023               48.86               
2017      12        13        0.031               7.27                
2018      1         24        0.036               1.33                
2018      2         14        0.042               1.28                
2018      3         14        0.055               1.26                
2018      4         18        0.059               1.31                
2018      5         8         0.052               1.51                
2018      6         14        0.027               4.87                
2018      7         16        0.019               95.09               
2018      8         16        0.056               391.73              
2018      9         11        0.026               65.72               
2018      10        30        0.026               3.98                
2018      11        21        0.038               2.28                
2018      12        11        0.044               2.07                
